Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           113	           113	           114	           114	           114
       13	  0.0301015                    0s	             0	     764508908	           179	           179	           180	           180	           180
       14	  0.0467598                    0s	             0	     764508390	           282	           282	           283	           283	           283
       15	  0.0726063                    0s	             0	     764507587	           442	           442	           443	           443	           443
       16	   0.112709                    0s	             0	     764506340	           691	           691	           692	           692	           692
       17	   0.174931                    0s	             0	     764504405	          1078	          1077	          1078	          1078	          1079
       18	   0.271473                    0s	             0	     764501403	          1678	          1677	          1678	          1678	          1679
       19	   0.421265                    0s	             0	     764496745	          2608	          2610	          2610	          2607	          2610
       20	   0.653677                    1s	             0	     764489518	          4051	          4056	          4054	          4055	          4054
       21	    1.01428                    1s	             0	     764478304	          6291	          6299	          6297	          6298	          6297
       22	    1.37488                    1s	             0	     764467091	          8531	          8542	          8540	          8541	          8540
       23	    1.73549                    2s	             0	     764455878	         10772	         10785	         10783	         10783	         10783
       24	    2.09609                    2s	             0	     764444665	         13012	         13028	         13025	         13025	         13026
       25	     2.4567                    2s	             0	     764433452	         15252	         15271	         15268	         15267	         15269
       26	     2.8173                    3s	             0	     764422239	         17492	         17514	         17511	         17509	         17512
       27	     3.1779                    3s	             0	     764411027	         19732	         19756	         19754	         19752	         19754
