Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	         1.98513e-05	         3.95872e-05	         3.58595e-05	         3.58464e-05	          3.5848e-05	         3.58477e-05
        2   2.78307e-07                    0s	         3.72683e-05	         7.42628e-05	         6.72932e-05	         6.72665e-05	         6.72694e-05	         6.72749e-05
        3   4.87346e-07                    0s	         3.73072e-05	         7.43062e-05	         6.73381e-05	         6.73102e-05	         6.72882e-05	         6.73166e-05
        4   8.64274e-07                    0s	         3.72681e-05	         7.43123e-05	         6.73308e-05	          6.7281e-05	         6.72656e-05	         6.72601e-05
        5   1.28236e-06                    0s	         3.72169e-05	         7.43164e-05	         6.72957e-05	          6.7251e-05	         6.72548e-05	          6.7303e-05
        6   2.63041e-06                    0s	          3.7216e-05	         7.42667e-05	         6.73008e-05	         6.72342e-05	         6.72822e-05	         6.72462e-05
        7   6.08615e-06                    0s	         3.72115e-05	         7.43109e-05	         6.73609e-05	         6.72847e-05	          6.7303e-05	         6.72969e-05
        8   1.36751e-05                    0s	          4.7746e-05	         7.83776e-05	         6.73059e-05	         6.72764e-05	         6.72702e-05	         6.72702e-05
        9   2.85862e-05                    0s	         8.66981e-05	         5.92358e-05	         7.27754e-05	         7.18237e-05	         7.18092e-05	         7.18375e-05
       10   5.55296e-05                    0s	         8.73956e-05	         6.07079e-05	          7.2782e-05	         7.18098e-05	         7.18125e-05	         7.18021e-05
       11   0.000101135                    0s	         8.83803e-05	         6.24902e-05	         7.28274e-05	         7.19711e-05	         7.20198e-05	         7.19708e-05
       12    0.00017439                    0s	         8.93122e-05	         6.40201e-05	         7.28359e-05	         7.22622e-05	         7.22335e-05	         7.22575e-05
       13   0.000287114                    0s	         9.01976e-05	         6.55509e-05	         7.26741e-05	         7.25299e-05	         7.25943e-05	         7.25584e-05
       14   0.000454474                    0s	         7.80452e-05	         9.38569e-05	         7.71931e-05	         7.39363e-05	         7.39295e-05	         7.39351e-05
       15   0.000695531                    0s	         0.000112207	         0.000117099	         0.000113314	         8.73116e-05	         8.73427e-05	         8.73831e-05
