Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
       54       1.46619                    1s	          1.6012e-06	         1.65206e-06	         1.46771e-06	         2.19206e-06	         7.61629e-07	         7.61658e-07
       55       1.63255                    2s	         1.56865e-06	          1.5827e-06	         1.44237e-06	         2.17652e-06	         7.44769e-07	         7.44176e-07
       56       1.81421                    2s	         1.54499e-06	         1.53007e-06	         1.41937e-06	         2.16422e-06	         7.32713e-07	           7.334e-07
       57       2.01226                    2s	         1.52068e-06	         1.49227e-06	         1.40434e-06	         2.15722e-06	         7.24049e-07	         7.23656e-07
       58       2.22783                    2s	         1.51446e-06	         1.46882e-06	         1.39732e-06	         2.15594e-06	         7.19787e-07	         7.19236e-07
       59       2.46214                    2s	         1.50713e-06	         1.45282e-06	         1.39213e-06	         2.15413e-06	         7.16562e-07	         7.14761e-07
       60       2.71645                    3s	         1.50375e-06	         1.44428e-06	         1.39242e-06	         2.15473e-06	         7.15713e-07	         7.15771e-07
       61       2.99207                    3s	         1.50249e-06	         1.44001e-06	         1.39117e-06	         2.15898e-06	         7.14716e-07	         7.15101e-07
       62        3.2904                    3s	         1.50624e-06	         1.44107e-06	         1.39153e-06	         2.16249e-06	         7.15311e-07	         7.16325e-07
       63       3.61289                    4s	         1.50705e-06	         1.44079e-06	         1.39544e-06	         2.16606e-06	         7.15799e-07	         7.17374e-07
       64       3.96105                    4s	         1.50865e-06	         1.44394e-06	         1.39842e-06	         2.17115e-06	         7.17709e-07	         7.18392e-07
       65       4.33648                    4s	         1.51517e-06	         1.44905e-06	         1.40313e-06	          2.1783e-06	         7.19519e-07	         7.20194e-07
       66       4.74083                    5s	         1.51953e-06	         1.45097e-06	          1.4037e-06	         2.18384e-06	         7.21742e-07	         7.21931e-07
       67       5.17583                    5s	         1.52116e-06	         1.45505e-06	         1.40483e-06	         2.18829e-06	         7.23289e-07	         7.24414e-07
       68       5.64329                    6s	         1.52559e-06	         1.45863e-06	         1.41148e-06	         2.19505e-06	         7.25968e-07	         7.26378e-07
       69        6.1451                    6s	         1.52853e-06	         1.46131e-06	         1.41456e-06	         2.20295e-06	         7.27958e-07	         7.26886e-07
       70        6.6832                    7s	         1.53396e-06	         1.46695e-06	         1.41869e-06	         2.20914e-06	          7.2876e-07	         7.30132e-07
       71       7.25966                    7s	          1.5388e-06	          1.4721e-06	         1.42412e-06	          2.2175e-06	         7.32023e-07	         7.32037e-07
       72       7.87658                    8s	         1.54562e-06	         1.47933e-06	         1.42821e-06	         2.22463e-06	         7.35608e-07	         7.33618e-07
