Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	         3.30012e+24	         1.63928e+23	         1.17234e+21	         1.60281e+19	         1.83595e+19	         1.58046e+19
        2   2.78307e-07                    0s	         3.30375e+24	         1.62652e+23	            1.19e+21	         2.68676e+19	         3.19311e+19	         2.45797e+19
        3   4.87346e-07                    0s	         3.30025e+24	         1.62158e+23	         1.18419e+21	         3.95054e+19	         3.38109e+19	         3.72878e+19
        4   8.64274e-07                    0s	         3.29965e+24	         1.61684e+23	         1.26971e+21	         5.64998e+19	         5.79823e+19	         6.44462e+19
        5   1.28236e-06                    0s	         3.30027e+24	         1.61545e+23	         1.16592e+21	         6.16036e+19	         6.15497e+19	         6.38943e+19
        6   2.63041e-06                    0s	         3.29562e+24	         1.62784e+23	         1.33768e+21	         2.28323e+20	         2.23174e+20	         2.13803e+20
        7   6.08615e-06                    0s	         3.29938e+24	         1.62247e+23	         1.65921e+21	         5.59726e+20	         5.66726e+20	         6.56957e+20
        8   1.36751e-05                    0s	         1.90279e+24	         1.63329e+23	          2.3282e+21	         1.04841e+21	         1.04344e+21	         1.05776e+21
        9   2.85862e-05                    0s	         1.51059e+22	         1.62658e+23	          1.2643e+21	         1.23886e+20	         1.22097e+20	         1.25052e+20
       10   5.55296e-05                    0s	         1.61407e+22	         1.62483e+23	         1.40581e+21	         2.28711e+20	         2.27543e+20	         2.26129e+20
       11   0.000101135                    0s	         1.74216e+22	         1.62806e+23	         1.69956e+21	         3.89456e+20	         3.87659e+20	         3.83385e+20
       12    0.00017439                    0s	         1.83083e+22	          1.6288e+23	         2.14704e+21	         6.37541e+20	         6.30741e+20	         6.30185e+20
       13   0.000287114                    0s	         1.92458e+22	         1.62878e+23	          2.8765e+21	         9.71727e+20	         9.90532e+20	         9.75334e+20
       14   0.000454474                    0s	         1.99904e+22	         3.67098e+21	         2.05131e+21	         3.54427e+20	         3.66302e+20	          3.6332e+20
       15   0.000695531                    0s	          7.0644e+20	         3.33248e+21	         1.39996e+21	         7.83835e+19	         8.79611e+19	         8.88543e+19
       16    0.00103383                    0s	         5.99985e+20	         3.03102e+20	         1.24519e+21	         2.32901e+19	         3.72799e+19	         3.73347e+19
       17    0.00149801                    0s	         2.15345e+20	         2.83341e+20	         1.21716e+21	         1.44935e+19	         3.36046e+19	         3.35106e+19
       18    0.00212246                    0s	         2.23377e+20	         2.33237e+20	         1.23415e+21	         1.48734e+19	         4.05828e+19	         4.10464e+19
       19    0.00294803                    0s	         2.34043e+20	         2.56549e+20	         1.25932e+21	         1.79699e+19	         5.25219e+19	         5.25228e+19
       20    0.00402271                    0s	         2.62177e+20	         2.85669e+20	         1.29058e+21	         2.13171e+19	         6.55572e+19	         6.57088e+19
       21     0.0054024                    0s	          2.9191e+20	         3.19369e+20	         1.32196e+21	         2.52569e+19	         7.99943e+19	           8.008e+19
       22    0.00715171                    0s	         3.25879e+20	         3.50941e+20	         1.34208e+21	         3.02663e+19	         9.42698e+19	         9.42428e+19
       23    0.00934477                    0s	         3.53827e+20	         3.79083e+20	          1.3632e+21	         3.70797e+19	           1.074e+20	         1.07981e+20
       24      0.012066                    0s	         3.80392e+20	         4.09076e+20	         1.38004e+21	         4.51394e+19	         1.20708e+20	         1.20612e+20
       25     0.0154113                    0s	         4.06764e+20	         4.37771e+20	         1.39472e+21	         5.35577e+19	         1.32137e+20	         1.31825e+20
       26     0.0194883                    0s	         4.28296e+20	         4.58897e+20	         1.40357e+21	         6.16294e+19	         1.42562e+20	         1.41872e+20
       27     0.0244182                    0s	         4.49572e+20	         4.77565e+20	         1.41564e+21	         6.86575e+19	         1.50173e+20	         1.50818e+20
