Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22
        1         1e-07                    0s	         1.30026e+22	         1.31471e+22	         1.31538e+22	         1.31538e+22	         1.31538e+22	         1.31538e+22
        2   2.78307e-07                    0s	         1.27799e+22	         1.31821e+22	         1.32006e+22	         1.32008e+22	         1.32008e+22	         1.32008e+22
        3   4.87346e-07                    0s	         1.25188e+22	          1.3223e+22	         1.32556e+22	         1.32559e+22	         1.32558e+22	         1.32559e+22
        4   8.64274e-07                    0s	          1.2048e+22	         1.32971e+22	         1.33547e+22	         1.33551e+22	          1.3355e+22	         1.33551e+22
        5   1.28236e-06                    0s	         1.15256e+22	         1.33793e+22	         1.34645e+22	         1.34651e+22	          1.3465e+22	         1.34653e+22
        6   2.63041e-06                    0s	         9.84158e+21	         1.36442e+22	         1.38189e+22	         1.38198e+22	         1.38204e+22	         1.38201e+22
        7   6.08615e-06                    0s	         5.52411e+21	         1.43235e+22	          1.4728e+22	         1.47291e+22	         1.47304e+22	         1.47299e+22
        8   1.36751e-05                    0s	          9.9224e+19	         1.50024e+22	         1.59104e+22	         1.59171e+22	         1.59181e+22	         1.59176e+22
        9   2.85862e-05                    0s	         1.79385e+20	         1.41923e+22	          1.6088e+22	         1.61013e+22	         1.61021e+22	         1.61019e+22
       10   5.55296e-05                    0s	         3.13907e+20	         1.27304e+22	         1.64111e+22	          1.6436e+22	         1.64369e+22	         1.64365e+22
       11   0.000101135                    0s	         5.22646e+20	         1.02608e+22	         1.69596e+22	         1.70065e+22	         1.70085e+22	          1.7007e+22
       12    0.00017439                    0s	         8.34098e+20	         6.30038e+21	         1.78383e+22	         1.79303e+22	         1.79313e+22	         1.79306e+22
       13   0.000287114                    0s	         1.27596e+21	         2.20618e+20	         1.91782e+22	         1.93613e+22	         1.93657e+22	         1.93632e+22
       14   0.000454474                    0s	         7.27877e+19	         2.80958e+20	         1.93846e+22	         1.96735e+22	         1.96778e+22	         1.96753e+22
       15   0.000695531                    0s	         8.05948e+19	         4.31027e+19	         1.93607e+22	          1.9758e+22	         1.97624e+22	         1.97601e+22
       16    0.00103383                    0s	         3.72561e+19	         4.84479e+19	          1.9265e+22	         1.98022e+22	         1.98072e+22	         1.98048e+22
       17    0.00149801                    0s	         4.34868e+19	         4.65663e+19	         1.91218e+22	         1.98479e+22	         1.98538e+22	         1.98514e+22
       18    0.00212246                    0s	         4.99198e+19	         5.59689e+19	         1.89261e+22	         1.99067e+22	         1.99143e+22	          1.9912e+22
       19    0.00294803                    0s	         5.94573e+19	         6.57343e+19	         1.86657e+22	         1.99852e+22	         1.99956e+22	         1.99933e+22
       20    0.00402271                    0s	         6.85003e+19	          7.5825e+19	         1.83247e+22	         2.00894e+22	         2.01044e+22	         2.01021e+22
       21     0.0054024                    0s	         7.64384e+19	         8.44986e+19	          1.7885e+22	         2.02256e+22	         2.02478e+22	         2.02456e+22
       22    0.00715171                    0s	         8.26897e+19	         9.17292e+19	         1.73255e+22	         2.04013e+22	          2.0433e+22	         2.04308e+22
       23    0.00934477                    0s	          8.8292e+19	         9.78987e+19	         1.66208e+22	         2.06236e+22	         2.06682e+22	         2.06661e+22
       24      0.012066                    0s	         9.23366e+19	         1.02772e+20	         1.57425e+22	         2.09021e+22	         2.09636e+22	         2.09617e+22
       25     0.0154113                    0s	         9.62553e+19	         1.05977e+20	         1.46585e+22	         2.12465e+22	         2.13301e+22	         2.13276e+22
       26     0.0194883                    0s	         9.83164e+19	         1.07955e+20	         1.33331e+22	         2.16687e+22	           2.178e+22	         2.17769e+22
       27     0.0244182                    0s	         1.00116e+20	         1.10261e+20	         1.17245e+22	         2.21808e+22	         2.23257e+22	         2.23236e+22
       28     0.0303358                    0s	         1.00865e+20	         1.11042e+20	         9.78884e+21	         2.27989e+22	         2.29841e+22	         2.29813e+22
       29     0.0373912                    0s	         1.02395e+20	         1.11172e+20	         7.47495e+21	         2.35357e+22	         2.37721e+22	         2.37687e+22
       30     0.0457507                    0s	         1.01772e+20	         1.11843e+20	         4.72843e+21	         2.44115e+22	         2.47068e+22	         2.47046e+22
       31     0.0555975                    0s	         1.02439e+20	         1.12555e+20	         1.48672e+21	         2.54431e+22	         2.58106e+22	         2.58096e+22
       32     0.0671332                    0s	         1.52601e+18	         1.43419e+19	         1.39033e+19	         2.59762e+22	         2.63803e+22	         2.63787e+22
       33     0.0805785                    0s	         3.29141e+16	         1.27639e+19	          1.3144e+19	         2.59773e+22	         2.63817e+22	           2.638e+22
       34     0.0961747                    0s	         3.03254e+16	         1.23551e+19	         1.31418e+19	         2.59773e+22	         2.63819e+22	         2.63803e+22
       35      0.114185                    0s	          2.9441e+16	         1.19025e+19	         1.31416e+19	         2.59772e+22	         2.63822e+22	         2.63805e+22
       36      0.134895                    0s	         2.84316e+16	         1.14066e+19	         1.31412e+19	         2.59771e+22	         2.63825e+22	         2.63808e+22
       37      0.158615                    0s	         2.74538e+16	           1.087e+19	         1.31408e+19	         2.59771e+22	         2.63828e+22	         2.63811e+22
       38       0.18568                    0s	         2.61806e+16	         1.02964e+19	         1.31406e+19	         2.59769e+22	         2.63831e+22	         2.63814e+22
       39      0.216451                    0s	         2.52753e+16	         9.69015e+18	         1.31403e+19	         2.59768e+22	         2.63835e+22	         2.63818e+22
       40      0.251319                    0s	         2.40247e+16	         9.05894e+18	         1.31399e+19	         2.59766e+22	         2.63839e+22	         2.63822e+22
       41      0.290702                    0s	         2.29007e+16	         8.40889e+18	         1.31395e+19	         2.59764e+22	         2.63843e+22	         2.63827e+22
       42      0.335051                    0s	         2.16635e+16	         7.75016e+18	         1.31391e+19	         2.59761e+22	         2.63848e+22	         2.63831e+22
       43      0.384846                    0s	         2.04283e+16	         7.09263e+18	         1.31386e+19	         2.59758e+22	         2.63853e+22	         2.63836e+22
       44      0.440602                    0s	         1.91051e+16	         6.44683e+18	         1.31383e+19	         2.59754e+22	         2.63858e+22	         2.63842e+22
       45       0.50287                    1s	          1.8118e+16	         5.82175e+18	          1.3138e+19	         2.59749e+22	         2.63864e+22	         2.63847e+22
       46      0.572236                    1s	         1.68978e+16	         5.22867e+18	         1.31376e+19	         2.59743e+22	          2.6387e+22	         2.63853e+22
       47      0.649323                    1s	         1.59933e+16	         4.67607e+18	         1.31374e+19	         2.59736e+22	         2.63876e+22	         2.63859e+22
       48      0.734794                    1s	         1.51614e+16	          4.1718e+18	         1.31371e+19	         2.59728e+22	         2.63883e+22	         2.63866e+22
       49      0.829354                    1s	         1.44648e+16	         3.71988e+18	         1.31368e+19	         2.59719e+22	         2.63889e+22	         2.63873e+22
