Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        1	 5.5157e-05                    0s	             0	     764509838	     764509837	     764509837	     764509837	     764509837	     764509837
        2	0.000140737                    0s	             0	     764509840	     764509837	     764509837	     764509837	     764509837	     764509837
        3	 0.00027352                    0s	             0	     764509844	     764509837	     764509837	     764509837	     764509837	     764509837
        4	0.000479543                    0s	             0	     764509850	     764509836	     764509836	     764509836	     764509836	     764509836
        5	0.000799202                    0s	             0	     764509859	     764509834	     764509835	     764509834	     764509835	     764509835
        6	 0.00129518                    0s	             0	     764509874	     764509831	     764509832	     764509831	     764509832	     764509832
        7	 0.00206471                    0s	             0	     764509897	     764509827	     764509828	     764509827	     764509828	     764509828
        8	  0.0032587                    0s	             0	     764509934	     764509820	     764509821	     764509820	     764509821	     764509821
        9	 0.00511127                    0s	             0	     764509991	     764509809	     764509810	     764509809	     764509810	     764509810
       10	 0.00798565                    0s	             0	     764510080	     764509792	     764509793	     764509792	     764509793	     764509793
       11	  0.0124454                    0s	             0	     764510218	     764509764	     764509766	     764509765	     764509766	     764509766
       12	  0.0193651                    0s	             0	     764510432	     764509721	     764509724	     764509723	     764509723	     764509724
       13	  0.0301015                    0s	             0	     764510765	     764509655	     764509658	     764509657	     764509656	     764509657
       14	  0.0467598                    0s	             0	     764511282	     764509552	     764509556	     764509554	     764509552	     764509554
       15	  0.0726063                    0s	             0	     764512086	     764509393	     764509395	     764509394	     764509391	     764509394
       16	   0.112709                    0s	             0	     764513331	     764509146	     764509146	     764509146	     764509140	     764509146
       17	   0.174931                    0s	             0	     764515266	     764508765	     764508754	     764508758	     764508752	     764508763
       18	   0.271473                    0s	             0	     764518265	     764508165	     764508151	     764508163	     764508151	     764508165
       19	   0.421265                    0s	             0	     764522917	     764507239	     764507229	     764507234	     764507211	     764507232
       20	   0.653677                    1s	             0	     764530138	     764505794	     764505809	     764505790	     764505767	     764505766
       21	    1.01428                    1s	             0	     764541350	     764503564	     764503551	     764503554	     764503529	     764503519
       22	    1.57378                    2s	             0	     764558729	     764500088	     764500076	     764500092	     764500061	     764500023
       23	    2.44189                    2s	             0	     764585736	     764494706	     764494632	     764494719	     764494665	     764494614
       24	    3.78882                    4s	             0	     764627637	     764486290	     764486257	     764486271	     764486301	     764486317
       25	    5.87868                    6s	             0	     764692658	     764473193	     764473301	     764473386	     764473337	     764473200
       26	    9.12123                    9s	             0	     764793520	     764452956	     764453197	     764453114	     764452995	     764453294
       27	    14.1523                   14s	             0	     764949920	     764421506	     764421862	     764421888	     764421727	     764422175
       28	    21.9583                   22s	             0	     765192630	     764373046	     764373764	     764373282	     764372774	     764373583
       29	    34.0699                   34s	             0	     765569518	     764297858	     764299076	     764297366	     764296963	     764298300
       30	     52.862                   53s	             0	     766154184	     764181311	     764181244	     764180177	     764179778	     764182389
       31	    82.0191               1min22s	             0	     767060487	     763999350	     763998529	     763998613	     764000302	     764001803
       32	    127.259               2min 7s	             0	     768468331	     763719773	     763718338	     763718560	     763718161	     763715924
       33	    197.451               3min17s	             0	     770652399	     763286323	     763280252	     763276845	     763281656	     763281613
       34	    306.359               5min 6s	             0	     774047327	     762607449	     762599720	     762599489	     762601032	     762604072
       35	    475.337               7min55s	             0	     779321291	     761559340	     761555512	     761542694	     761546231	     761534023
       36	    737.519              12min18s	             0	     787513059	     759930961	     759903897	     759912181	     759887914	     759911081
       37	    1144.31              19min 4s	             0	     800248859	     757403105	     757356500	     757353602	     757334120	     757362909
       38	    1775.48              29min35s	             0	     820072322	     753476977	     753396701	     753371665	     753332720	     753408712
       39	    2754.78              45min55s	             0	     850980374	     747241994	     747224126	     747206454	     747160870	     747245281
       40	    4274.24            1h11min14s	             0	     899251483	     737704912	     737550575	     737410335	     737508076	     737633719
       41	    6631.79            1h50min32s	             0	     974896082	     722816861	     722356784	     722196239	     722417420	     722375716
       42	    10289.7            2h51min30s	             0	    1094029157	     699502928	     698294513	     698435410	     698329608	     698467487
       43	    15965.2            4h26min 5s	             0	    1282087352	     663016963	     660009942	     660354277	     660823778	     660766793
       44	    24771.1            6h52min51s	             0	    1579736071	     604775149	     601035359	     600223874	     600798374	     600490281
       45	    38434.1           10h40min34s	             0	    2044550412	     514210019	     506820111	     507127354	     507359430	     506991785
       46	    59633.2           16h33min53s	             0	    2740818672	     376689479	     368411706	     367086525	     366990247	     367062484
       47	    81757.7           22h42min38s	             0	    3276680607	     268610563	     260467214	     260622619	     260500987	     260177125
       48	     103882         1d 4h51min22s	             0	    3657326019	     190717476	     184756485	     184951588	     184697291	     184610258
       49	     126007         1d11h      7s	             0	    3927229001	     135117183	     131493698	     131112317	     131047691	     131059229
       50	     148131         1d17h 8min51s	             0	    4118729107	      95589465	      93183798	      93248865	      93188854	      93119033
       51	     170256         1d23h17min36s	             0	    4254846156	      67992567	      65991392	      66206217	      66006603	      66016188
       52	     192381         2d 5h26min21s	             0	    4351342452	      48444170	      46948761	      46826208	      46685306	      46812228
       53	     214505         2d11h35min 5s	             0	    4419792296	      34211942	      33371382	      33165416	      33281349	      33236742
       54	     236630         2d17h43min50s	             0	    4468315300	      24356973	      23605286	      23534297	      23613225	      23634049
       55	     258754         2d23h52min34s	             0	    4502785969	      17281909	      16715084	      16729758	      16758303	      16788109
       56	     280879         3d 6h 1min19s	             0	    4527264917	      12268119	      11887621	      11910716	      11833116	      11894646
       57	     303003         3d12h10min 3s	             0	    4544642200	       8678949	       8417015	       8429859	       8451916	       8439199
       58	     325128         3d18h18min48s	             0	    4556948615	       6161405	       5967864	       5998504	       6000349	       5982403
       59	     347253         4d   27min33s	             0	    4565680971	       4367301	       4247046	       4237449	       4264656	       4261718
