     time[s]	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
             0	           0	   764509837	           0	           0	           0	           0	           0

   4.35974e-05	           0	   764509836	           0	           0	           0	           0	           0

   0.000106202	           0	   764509835	           0	           0	           0	           0	           0

   0.000196101	           0	   764509833	           0	           0	           0	           0	           0

   0.000325193	           0	   764509829	           0	           0	           0	           0	           0

   0.000510567	           0	   764509824	           1	           1	           1	           1	           1

   0.000776758	           0	   764509816	           2	           2	           2	           2	           2

      0.001159	           0	   764509805	           4	           4	           4	           4	           4

    0.00170789	           0	   764509788	           7	           7	           7	           7	           7

    0.00249609	           0	   764509764	          11	          11	          11	          11	          11

    0.00362792	           0	   764509729	          18	          18	          18	          18	          18

     0.0052532	           0	   764509679	          28	          28	          28	          28	          28

    0.00758705	           0	   764509607	          42	          42	          42	          42	          42

     0.0109384	           0	   764509503	          62	          62	          62	          62	          62

     0.0157509	           0	   764509354	          92	          91	          91	          91	          91

     0.0226614	           0	   764509140	         134	         133	         134	         133	         134

     0.0325848	           0	   764508832	         195	         194	         195	         194	         195

     0.0468346	           0	   764508389	         283	         282	         283	         282	         283

     0.0672969	           0	   764507753	         410	         409	         409	         409	         410

     0.0966802	           0	   764506840	         592	         591	         591	         591	         592

      0.138874	           0	   764505528	         854	         853	         853	         853	         854

      0.199463	           0	   764503644	        1230	        1230	        1229	        1229	        1230

      0.286467	           0	   764500939	        1770	        1771	        1770	        1770	        1771

      0.411403	           0	   764497054	        2546	        2548	        2547	        2547	        2548

      0.590808	           0	   764491475	        3660	        3663	        3663	        3663	        3663

      0.848428	           0	   764483464	        5261	        5265	        5265	        5265	        5265

       1.21836	           0	   764471960	        7561	        7565	        7566	        7565	        7566

       1.74958	           0	   764455441	       10862	       10869	       10870	       10869	       10870

        2.5124	           0	   764431721	       15604	       15615	       15613	       15610	       15617

       3.60779	           0	   764397660	       22408	       22429	       22427	       22424	       22430

       5.18073	           0	   764348752	       32182	       32210	       32194	       32223	       32215

       7.43944	           0	   764278527	       46224	       46238	       46234	       46261	       46289

       10.6829	           0	   764177697	       66377	       66408	       66416	       66422	       66452

       15.3404	           0	   764032933	       95322	       95379	       95466	       95300	       95371

       22.0285	           0	   763825102	      136866	      136870	      137040	      136924	      136968

       31.6323	           0	   763526770	      196536	      196523	      196750	      196648	      196541

       45.4233	           0	   763098577	      282421	      282167	      282173	      282413	      282015

       65.2267	           0	   762484118	      405497	      404771	      404766	      405425	      405188

       93.6639	           0	   761602682	      582641	      581426	      579815	      581710	      581489

       134.499	           0	   760338743	      836236	      833935	      832679	      833888	      834279

       193.137	           0	   758527554	     1200448	     1196208	     1194607	     1194886	     1196055

        277.34	           0	   755934199	     1723603	     1714755	     1713506	     1710684	     1713008

       398.253	           0	   752227502	     2474803	     2453824	     2453159	     2446555	     2453910

       571.881	           0	   746937685	     3555119	     3508076	     3498663	     3499581	     3510626

       821.207	           0	   739407843	     5108661	     4998932	     4995194	     4989255	     5009863

       1179.23	           0	   728731759	     7331122	     7113165	     7110555	     7098386	     7124758

       1693.35	           0	   713670986	    10541678	    10080967	    10070701	    10051404	    10094007

        2431.6	           0	   692611283	    15158603	    14199447	    14186043	    14147768	    14206598

       3491.72	           0	   663487507	    21771951	    19823063	    19807206	    19795437	    19824576

       5014.02	           0	   623870619	    31322110	    27356545	    27299532	    27303613	    27357318

          7200	           0	   571266951	    45060301	    37051699	    37043407	    37030531	    37056846

         10339	           0	   503785987	    64825758	    48910508	    49041244	    48959684	    48986553
