Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	          3.3006e+24	         1.62243e+23	         1.14253e+21	          1.6775e+19	         1.60809e+19	         1.60023e+19
        2   2.07337e-07                    0s	         3.30118e+24	         1.61704e+23	          1.1238e+21	         1.44983e+19	          1.9632e+19	         1.62875e+19
        3   3.31433e-07                    0s	         3.29628e+24	         1.62195e+23	         1.16941e+21	         1.73605e+19	          2.2721e+19	         3.51433e+19
        4   6.08459e-07                    0s	         3.29978e+24	         1.62282e+23	         1.22041e+21	         3.97695e+19	         4.29766e+19	         4.02926e+19
        5   9.53745e-07                    0s	         3.30137e+24	         1.62714e+23	         1.12455e+21	         5.04782e+19	         5.71732e+19	         5.74438e+19
        6   3.99548e-06                    0s	          3.3016e+24	         1.62027e+23	         1.52706e+21	         4.77821e+20	         5.03324e+20	         4.89069e+20
        7    2.1687e-05                    0s	         1.20332e+24	          1.6207e+23	         3.31916e+21	         1.77482e+21	         1.78679e+21	         1.75109e+21
        8   9.91551e-05                    0s	         6.76213e+21	         1.62979e+23	         2.07336e+21	         5.72863e+20	         5.88753e+20	         5.84002e+20
        9    0.00037526                    0s	         8.34412e+21	          1.1019e+23	         5.50812e+21	         1.86051e+21	          1.9003e+21	         1.87183e+21
       10    0.00121727                    0s	         7.06484e+21	         1.21125e+21	         3.27552e+21	         4.97318e+20	         5.60474e+20	         5.62811e+20
       11       0.00349                    0s	         5.89529e+20	          9.8921e+20	         1.66773e+21	         1.06626e+20	         1.86903e+20	         1.87949e+20
       12    0.00905122                    0s	         4.70366e+20	         5.00082e+20	         1.42882e+21	         7.45604e+19	         1.57427e+20	         1.57779e+20
       13     0.0216061                    0s	         5.22521e+20	         5.50527e+20	          1.4495e+21	         9.46894e+19	         1.77882e+20	         1.77636e+20
       14     0.0481051                    0s	         5.54437e+20	         5.80833e+20	         1.46094e+21	         1.06618e+20	         1.88791e+20	         1.88812e+20
       15      0.100933                    0s	         1.15252e+20	          1.2159e+20	         2.75426e+20	         2.53273e+19	         3.82564e+19	         3.82123e+19
       16      0.201218                    0s	         9.49596e+16	         1.35708e+17	         1.31552e+17	         8.46854e+16	         3.22214e+16	         3.22497e+16
       17      0.383665                    0s	         5.03711e+16	         8.46718e+16	         5.70653e+16	         7.46932e+16	         1.94569e+16	         1.94487e+16
       18      0.703464                    1s	         4.22262e+16	         5.85076e+16	          4.4229e+16	         7.23813e+16	           1.591e+16	         1.58607e+16
       19       1.24588                    1s	         3.60657e+16	         3.89277e+16	         3.45353e+16	         7.05201e+16	         1.31455e+16	         1.31592e+16
       20       2.13938                    2s	          3.3545e+16	         3.09562e+16	         3.01609e+16	         7.06011e+16	         1.19423e+16	         1.19106e+16
       21       3.57316                    4s	         3.38503e+16	          3.0963e+16	         2.99087e+16	          7.2809e+16	         1.19493e+16	         1.19651e+16
       22        5.8203                    6s	         3.49839e+16	         3.31735e+16	         3.08228e+16	         7.64291e+16	         1.23117e+16	           1.232e+16
