Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
       70        853577        09d21h06min17s	                   1	         3.44679e-07	          6.2978e-05	         0.000114846	         0.000163809	         0.000119832
       71        985672        11d09h47min52s	                   1	         4.88523e-07	         5.91142e-05	         0.000114761	         0.000164128	         0.000119969
       72   1.13589e+06        13d03h31min28s	                   1	         3.45792e-07	         5.56981e-05	         0.000114646	           0.0001643	         0.000120033
       73    1.3064e+06        15d02h53min22s	                   1	          3.0591e-07	         5.24789e-05	         0.000114652	         0.000164634	          0.00012022
       74   1.49962e+06        17d08h33min38s	                   1	         1.63657e-07	         4.94311e-05	         0.000114574	         0.000164789	         0.000120272
       75   1.71818e+06        19d21h16min22s	                   1	         3.27399e-07	         4.65827e-05	         0.000114472	         0.000164876	         0.000120286
       76   1.96501e+06        22d17h50min10s	                   1	         3.27685e-07	         4.40856e-05	         0.000114355	         0.000164954	         0.000120337
       77    2.2433e+06        25d23h08min23s	                   1	         3.28119e-07	         4.16431e-05	         0.000114373	         0.000165131	         0.000120414
       78   2.55658e+06        29d14h09min39s	                   1	         3.07129e-07	         3.91386e-05	         0.000114246	         0.000165184	         0.000120452
       79   2.90869e+06    01mo03d15h58min14s	                   1	         2.59646e-07	         3.70923e-05	         0.000114254	         0.000165287	         0.000120468
       80   3.30387e+06    01mo08d05h44min30s	                   1	         2.32533e-07	         3.50853e-05	         0.000114271	         0.000165431	         0.000120543
       81   3.74673e+06    01mo13d08h45min26s	                   1	         1.64472e-07	         3.30745e-05	         0.000114203	         0.000165474	         0.000120558
       82   4.24231e+06    01mo19d02h25min08s	                   1	         2.01414e-07	         3.14448e-05	         0.000114151	         0.000165486	         0.000120549
       83   4.79613e+06    01mo25d12h15min26s	                   1	         2.32488e-07	         2.97279e-05	         0.000114093	         0.000165484	         0.000120524
       84   5.41418e+06    02mo02d15h56min23s	                   1	                   1	         2.77079e-05	          0.00011204	         0.000162607	         0.000118429
       85   6.10302e+06    02mo10d15h17min01s	                   1	         1.58318e-07	         2.62149e-05	         0.000111881	         0.000162432	         0.000118276
       86   6.86976e+06    02mo19d12h15min55s	                   1	         2.25144e-07	           2.479e-05	         0.000112145	         0.000162893	         0.000118604
       87   7.72212e+06    02mo29d09h02min---	                   1	         1.64775e-07	         2.41341e-05	         0.000114043	         0.000165712	         0.000120659
       88   8.66851e+06    03mo10d07h55min12s	                   1	         2.33327e-07	         2.29641e-05	         0.000114087	         0.000165824	         0.000120737
       89   9.71804e+06    03mo22d11h27min21s	                   1	                   1	         2.11902e-05	         0.000111928	         0.000162727	         0.000118456
       90   1.08806e+07    04mo05d22h23min01s	                   1	         1.58745e-07	         2.03331e-05	         0.000111852	         0.000162671	         0.000118428
       91   1.21668e+07    04mo20d19h40min21s	                   1	         1.58933e-07	         1.93324e-05	         0.000111894	         0.000162774	         0.000118499
       92   1.35883e+07    05mo07d06h32min06s	                   1	         1.12369e-07	         1.84367e-05	         0.000111905	         0.000162794	         0.000118491
       93   1.51576e+07    05mo25d10h26min35s	                   1	         1.12402e-07	         1.74795e-05	         0.000111936	         0.000162847	         0.000118507
       94   1.68881e+07    06mo15d11h08min48s	                   1	                   1	         1.67816e-05	         0.000111872	         0.000162816	          0.00011851
       95   1.87945e+07    07mo07d12h41min31s	                   1	                   1	         1.57751e-05	         0.000111807	         0.000162713	         0.000118407
       96   2.11389e+07    08mo04d15h54min49s	                   1	                   1	         1.41766e-05	         0.000111859	         0.000162878	         0.000118543
       97   2.44235e+07    09mo12d16h18min42s	                   1	         1.12363e-07	          1.2148e-05	         0.000111838	         0.000162847	         0.000118482
       98   2.90255e+07    11mo05d22h37min59s	                   1	                   1	         1.02057e-05	         0.000111878	          0.00016296	         0.000118566
       99   3.54731e+07  1y01mo20d13h38min---	                   1	                   1	          8.8402e-06	         0.000113896	         0.000165958	         0.000120763

