Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22
        1         1e-07                    0s	         1.30026e+22	         1.31471e+22	         1.31538e+22	         1.31538e+22	         1.31538e+22	         1.31538e+22
        2   2.07337e-07                    0s	         1.28685e+22	         1.31682e+22	          1.3182e+22	         1.31821e+22	         1.31821e+22	         1.31821e+22
        3   3.31433e-07                    0s	         1.27135e+22	         1.31926e+22	         1.32146e+22	         1.32147e+22	         1.32148e+22	         1.32147e+22
        4   6.08459e-07                    0s	         1.23674e+22	         1.32471e+22	         1.32874e+22	         1.32877e+22	         1.32877e+22	         1.32877e+22
        5   9.53745e-07                    0s	         1.19361e+22	         1.33149e+22	         1.33783e+22	         1.33786e+22	         1.33787e+22	         1.33784e+22
        6   3.99548e-06                    0s	          8.1364e+21	         1.39132e+22	         1.41771e+22	         1.41787e+22	         1.41804e+22	         1.41792e+22
        7    2.1687e-05                    0s	         2.10598e+20	         1.45572e+22	         1.59896e+22	         1.60008e+22	         1.60049e+22	         1.60019e+22
        8   9.91551e-05                    0s	         8.78932e+20	         1.03016e+22	         1.68516e+22	         1.69097e+22	         1.69131e+22	           1.691e+22
        9    0.00037526                    0s	         2.11819e+21	         2.75534e+20	         1.87244e+22	         1.92147e+22	         1.92188e+22	         1.92134e+22
       10    0.00121727                    0s	          1.5705e+20	          4.7497e+20	          1.8641e+22	         1.98261e+22	         1.98357e+22	         1.98301e+22
       11       0.00349                    0s	         1.11195e+20	         1.18223e+20	         1.79232e+22	         2.01897e+22	         2.02141e+22	         2.02086e+22
       12    0.00905122                    0s	         1.01405e+20	         1.10783e+20	          1.6105e+22	         2.07755e+22	         2.08389e+22	         2.08333e+22
       13     0.0216061                    0s	         1.03398e+20	         1.12265e+20	         1.19628e+22	         2.20907e+22	         2.22508e+22	          2.2245e+22
       14     0.0481051                    0s	         1.03797e+20	         1.12578e+20	         3.18549e+21	         2.48659e+22	          2.5251e+22	         2.52462e+22
       15      0.100933                    0s	         5.46608e+17	         1.15475e+19	         1.43227e+19	         2.59036e+22	         2.64206e+22	         2.64144e+22
       16      0.201218                    0s	         2.59869e+16	         9.44645e+18	         1.31419e+19	         2.59036e+22	         2.64224e+22	         2.64163e+22
       17      0.383665                    0s	         2.10877e+16	         6.67957e+18	          1.3139e+19	         2.59024e+22	         2.64244e+22	         2.64183e+22
       18      0.703464                    1s	          1.6204e+16	          4.0515e+18	         1.31374e+19	         2.58995e+22	         2.64272e+22	         2.64211e+22
       19       1.24588                    1s	         1.33494e+16	         2.47064e+18	         1.31362e+19	         2.58936e+22	         2.64309e+22	         2.64248e+22
       20       2.13938                    2s	         1.31348e+16	         2.05389e+18	         1.31357e+19	          2.5883e+22	         2.64365e+22	         2.64303e+22
       21       3.57316                    4s	         1.26112e+16	         2.11868e+18	         1.31348e+19	         2.58653e+22	         2.64453e+22	         2.64391e+22
       22        5.8203                    6s	         1.30441e+16	         2.22606e+18	         1.31341e+19	         2.58367e+22	         2.64595e+22	         2.64534e+22
       23       9.26785                    9s	         1.33438e+16	         2.26036e+18	         1.31336e+19	         2.57915e+22	         2.64821e+22	          2.6476e+22
       24       14.4554                   14s	         1.33787e+16	         2.31222e+18	         1.31294e+19	         2.57219e+22	         2.65168e+22	         2.65108e+22
       25        22.124                   22s	         1.25763e+16	         2.32509e+18	         1.31281e+19	         2.56174e+22	         2.65691e+22	          2.6563e+22
       26       33.2776                   33s	         1.46921e+16	         2.31859e+18	         1.31233e+19	         2.54637e+22	         2.66459e+22	         2.66398e+22
       27        49.259                   49s	         1.63234e+16	         2.34757e+18	         1.31417e+19	         2.52419e+22	         2.67568e+22	         2.67507e+22
       28       71.8439              01min12s	         1.28641e+16	         2.33304e+18	         1.31073e+19	         2.49269e+22	         2.69144e+22	         2.69082e+22
       29       103.355              01min43s	         1.44706e+16	         2.36582e+18	         1.33434e+19	         2.44858e+22	         2.71346e+22	         2.71288e+22
       30       146.802              02min27s	         1.13567e+16	         2.28085e+18	         1.30684e+19	         2.38764e+22	         2.74393e+22	         2.74338e+22
       31       206.046              03min26s	         1.49747e+16	         2.32829e+18	         1.45315e+19	         2.30441e+22	         2.78549e+22	         2.78492e+22
       32       286.002              04min46s	         1.27912e+16	         2.34767e+18	         1.30587e+19	         2.19194e+22	         2.84177e+22	         2.84124e+22
       33       392.873              06min33s	          1.3516e+16	         2.37086e+18	         1.61214e+19	         2.04149e+22	         2.91693e+22	         2.91622e+22
       34       534.431              08min54s	         2.46388e+16	         2.27414e+18	         1.29257e+19	         1.84209e+22	         3.01683e+22	         3.01605e+22
       35       720.346              12min---	         1.64864e+16	         2.36946e+18	         2.89445e+19	          1.5801e+22	         3.14699e+22	         3.14628e+22
       36        962.57              16min03s	         1.48225e+16	         2.35698e+18	         1.28727e+19	         1.23863e+22	         3.31839e+22	         3.31795e+22
       37       1275.78              21min16s	         1.58838e+16	         2.26465e+18	         4.68034e+19	         7.96997e+21	         3.53753e+22	         3.53706e+22
       38       1677.91              27min58s	         1.31131e+16	         2.32422e+18	         1.28878e+19	         2.29847e+21	         3.82263e+22	          3.8225e+22
       39       2190.73              36min31s	         3.21196e+15	                   0	         2.85107e+19	         1.31408e+19	         3.93611e+22	         3.93623e+22
       40       2840.52              47min21s	                   0	         2.31144e+14	         1.22804e+19	          1.3128e+19	         3.93692e+22	         3.93704e+22
       41       3658.91           01h-----59s	         8.81085e+11	         2.28721e+14	         1.13079e+19	         1.31279e+19	         3.93697e+22	         3.93709e+22
       42       4683.72           01h18min04s	         8.81085e+11	         1.87372e+14	         1.02192e+19	         1.31279e+19	         3.93702e+22	         3.93714e+22
       43       5959.98           01h39min20s	          1.7311e+12	         1.64138e+14	         9.03371e+18	         1.31278e+19	         3.93708e+22	          3.9372e+22
       44       7541.13           02h05min41s	         5.24145e+11	          1.4181e+14	         7.78177e+18	         1.31278e+19	         3.93714e+22	         3.93726e+22
       45       9490.27           02h38min10s	         1.46231e+12	         1.20857e+14	         6.50297e+18	         1.31277e+19	         3.93721e+22	         3.93733e+22
       46       11881.7           03h18min02s	         5.33818e+11	         8.00037e+13	         5.24495e+18	         1.31277e+19	         3.93727e+22	         3.93739e+22
       47       14802.3           04h06min42s	          2.3786e+11	         7.67481e+13	         4.05812e+18	         1.31276e+19	         3.93733e+22	         3.93745e+22
       48         18354           05h05min54s	         5.05496e+11	         4.94492e+13	         2.99007e+18	         1.31276e+19	         3.93738e+22	          3.9375e+22
       49         22655           06h17min35s	                   0	         4.41509e+13	         2.08031e+18	         1.31276e+19	         3.93743e+22	         3.93755e+22
