Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	              227.17	              8.9551	           0.0484515	          0.00250065	          0.00207481	          0.00216437
        2   2.07337e-07                    0s	             227.248	             8.94794	           0.0465536	          0.00199053	          0.00209574	          0.00192179
        3   3.31433e-07                    0s	             227.211	             8.96561	           0.0486277	          0.00255443	          0.00276374	           0.0026251
        4   6.08459e-07                    0s	             227.205	             8.92984	           0.0541131	          0.00568256	          0.00650787	          0.00619434
        5   9.53745e-07                    0s	             227.129	             8.95687	           0.0535632	          0.00661589	          0.00711618	          0.00804591
        6   3.99548e-06                    0s	             227.173	             8.97025	            0.114231	           0.0652974	            0.067689	           0.0652246
        7    2.1687e-05                    0s	             82.7844	             8.94417	            0.318264	            0.243763	             0.23954	            0.241336
        8   9.91551e-05                    0s	            0.462663	             8.96288	            0.139208	           0.0651131	           0.0662483	           0.0657019
        9    0.00037526                    0s	            0.576844	             6.05507	            0.412602	            0.210532	            0.212679	            0.212405
       10    0.00121727                    0s	            0.478557	           0.0921315	            0.170422	           0.0662539	           0.0723122	           0.0721006
       11       0.00349                    0s	           0.0444944	           0.0559308	           0.0705812	           0.0156042	           0.0178465	           0.0178709
       12    0.00905122                    0s	           0.0289783	           0.0275926	           0.0592568	            0.014551	           0.0132754	           0.0132774
       13     0.0216061                    0s	           0.0300681	           0.0287594	           0.0599481	           0.0172658	           0.0144683	           0.0144789
       14     0.0481051                    0s	           0.0308912	           0.0295547	           0.0604354	           0.0186266	           0.0150785	           0.0150754
       15      0.100933                    0s	          0.00641517	          0.00612826	           0.0113742	          0.00387925	          0.00304971	          0.00304525
       16      0.201218                    0s	         6.01727e-06	          7.3738e-06	          5.7705e-06	         4.32884e-06	         2.57748e-06	         2.58162e-06
       17      0.383665                    0s	         3.13444e-06	         4.56559e-06	         2.67702e-06	         3.00871e-06	         1.47146e-06	          1.4718e-06
       18      0.703464                    1s	         2.41621e-06	         3.16265e-06	         2.11449e-06	          2.6711e-06	         1.14243e-06	         1.14256e-06
       19       1.24588                    1s	          1.8714e-06	         2.09512e-06	         1.68616e-06	         2.40723e-06	         8.88047e-07	         8.87111e-07
       20       2.13938                    2s	         1.63833e-06	         1.61287e-06	         1.50002e-06	         2.30889e-06	          7.7663e-07	         7.76112e-07
       21       3.57316                    4s	         1.62446e-06	         1.54594e-06	         1.49504e-06	         2.34218e-06	         7.70708e-07	          7.7035e-07
       22        5.8203                    6s	         1.67961e-06	         1.60089e-06	         1.54414e-06	         2.42316e-06	         7.95303e-07	         7.94919e-07
       23       9.26785                    9s	         1.73685e-06	         1.65892e-06	          1.5894e-06	         2.50028e-06	         8.20286e-07	         8.21863e-07
       24       14.4554                   14s	         1.77919e-06	         1.69691e-06	         1.62547e-06	         2.56175e-06	         8.39374e-07	         8.42256e-07
       25        22.124                   22s	         1.81472e-06	         1.73241e-06	          1.6545e-06	         2.60815e-06	         8.55887e-07	         8.54971e-07
       26       33.2776                   33s	         1.83392e-06	         1.75132e-06	         1.67385e-06	         2.63914e-06	         8.64808e-07	         8.65048e-07
       27        49.259                   49s	         1.84801e-06	         1.76494e-06	         1.68764e-06	         2.65823e-06	          8.7194e-07	         8.70758e-07
       28       71.8439              01min12s	          1.8569e-06	         1.77188e-06	         1.69264e-06	         2.66931e-06	         8.76194e-07	         8.75479e-07
       29       103.355              01min43s	          1.8616e-06	          1.7791e-06	         1.69558e-06	         2.68072e-06	         8.77315e-07	         8.79139e-07
       30       146.802              02min27s	         1.86981e-06	         1.78607e-06	         1.70561e-06	         2.68884e-06	         8.80974e-07	         8.81477e-07
       31       206.046              03min26s	         1.86388e-06	         1.78343e-06	         1.70026e-06	         2.68792e-06	         8.81221e-07	         8.80299e-07
       32       286.002              04min46s	          1.8729e-06	         1.79166e-06	         1.71342e-06	         2.69881e-06	         8.84305e-07	          8.8482e-07
       33       392.873              06min33s	         1.87285e-06	          1.7885e-06	         1.70486e-06	         2.69674e-06	         8.83593e-07	         8.80532e-07
       34       534.431              08min54s	           1.878e-06	         1.79581e-06	         1.71609e-06	         2.70292e-06	         8.86588e-07	         8.86844e-07
       35       720.346              12min---	         1.86339e-06	         1.78199e-06	         1.69371e-06	         2.69262e-06	         8.78989e-07	         8.79704e-07
       36        962.57              16min03s	         1.88511e-06	          1.8031e-06	         1.72781e-06	          2.7102e-06	         8.89719e-07	         8.90493e-07
       37       1275.78              21min16s	         1.86324e-06	         1.78065e-06	         1.68681e-06	         2.69071e-06	         8.78508e-07	         8.77946e-07
       38       1677.91              27min58s	         1.88722e-06	         1.80344e-06	         1.73074e-06	          2.7144e-06	         8.90658e-07	         8.91867e-07
       39       2190.73              36min31s	         5.89377e-07	          5.6379e-07	          5.3537e-07	          8.5139e-07	         2.77723e-07	         2.78328e-07
       40       2840.52              47min21s	         3.43458e-09	          3.2852e-09	         5.54006e-09	         3.00149e-09	         1.67151e-09	         1.67181e-09
       41       3658.91           01h-----59s	         1.63071e-10	         1.56003e-10	         2.63363e-10	         1.42668e-10	         7.93999e-11	         7.94173e-11
       42       4683.72           01h18min04s	         1.45519e-10	         1.39097e-10	          2.3534e-10	          1.2735e-10	          7.1062e-11	         7.09541e-11
       43       5959.98           01h39min20s	         1.27378e-10	         1.22032e-10	         2.05824e-10	         1.11424e-10	         6.20343e-11	         6.20585e-11
       44       7541.13           02h05min41s	         1.08198e-10	         1.03637e-10	         1.75221e-10	          9.4874e-11	         5.28832e-11	         5.29226e-11
       45       9490.27           02h38min10s	         8.96429e-11	         8.57197e-11	          1.4512e-10	         7.85406e-11	         4.38439e-11	          4.3844e-11
       46       11881.7           03h18min02s	         7.18305e-11	         6.88426e-11	          1.1637e-10	         6.29613e-11	         3.51324e-11	         3.51332e-11
       47       14802.3           04h06min42s	         5.54497e-11	          5.3131e-11	         8.98409e-11	         4.86329e-11	         2.71375e-11	         2.71227e-11
       48         18354           05h05min54s	         4.10256e-11	          3.9259e-11	         6.64627e-11	         3.59965e-11	         2.00673e-11	         2.00924e-11
       49         22655           06h17min35s	          2.8804e-11	          2.7557e-11	         4.67596e-11	         2.53035e-11	         1.41227e-11	         1.41258e-11
       50       27842.8           07h44min03s	         1.91246e-11	         1.83008e-11	         3.10207e-11	         1.67912e-11	         9.36668e-12	         9.37906e-12
       51       34076.3           09h27min56s	         1.18138e-11	         1.13062e-11	         1.91774e-11	         1.03735e-11	         5.79593e-12	         5.78994e-12
       52       41538.8           11h32min19s	         6.73665e-12	         6.45468e-12	          1.0912e-11	         5.91122e-12	          3.2996e-12	         3.29719e-12
       53       50441.2           14h-----41s	         3.46985e-12	         3.32388e-12	         5.62195e-12	         3.04739e-12	         1.70093e-12	         1.69817e-12
       54       61025.4           16h57min05s	         1.59059e-12	         1.52167e-12	         2.57709e-12	         1.39379e-12	         7.79321e-13	         7.78243e-13
       55       73568.1           20h26min08s	         6.34924e-13	         6.07014e-13	         1.02856e-12	         5.58004e-13	             3.1e-13	         3.10626e-13
       56       88385.1        01d---33min05s	         2.15319e-13	         2.05974e-13	         3.48758e-13	          1.8866e-13	         1.05275e-13	         1.05213e-13
       57        105836        01d05h23min56s	         6.05138e-14	         5.79073e-14	         9.79719e-14	         5.30571e-14	         2.95853e-14	         2.95357e-14
       58        126328        01d11h05min28s	         1.36761e-14	         1.30781e-14	         2.21073e-14	         1.19701e-14	         6.67156e-15	         6.67077e-15
       59        150325        01d17h45min25s	         2.40029e-15	         2.29521e-15	         3.87779e-15	         2.10051e-15	         1.17134e-15	          1.1706e-15
       60        178350        02d01h32min30s	         3.16269e-16	         3.02801e-16	          5.1058e-16	         2.76971e-16	         1.54324e-16	         1.54199e-16
       61        210991        02d10h36min31s	         3.06891e-17	         2.93306e-17	         4.90316e-17	         2.70908e-17	         1.50675e-17	         1.49621e-17
       62        248915        02d21h08min35s	         2.70377e-18	         2.58424e-18	         3.82745e-18	          2.6205e-18	         1.43315e-18	         1.30662e-18
       63        292866        03d09h21min06s	          8.3951e-19	         8.01688e-19	          8.1256e-19	         9.90946e-19	         5.24367e-19	         3.96509e-19
       64        343683        03d23h28min03s	         7.59683e-19	          7.2582e-19	         6.83849e-19	         9.21262e-19	         4.85335e-19	         3.58097e-19
       65        402302        04d15h45min02s	         7.57818e-19	         7.23767e-19	         6.81314e-19	         9.19384e-19	         4.85108e-19	         3.56955e-19
       66        469770        05d10h29min30s	         7.57937e-19	         7.23098e-19	          6.8015e-19	          9.1889e-19	          4.8438e-19	         3.56744e-19
       67        547257        06d08h-----57s	         7.56986e-19	         7.23058e-19	          6.8019e-19	         9.18826e-19	         4.84492e-19	         3.56861e-19
       68        636063        07d08h41min03s	         7.58188e-19	         7.24441e-19	         6.80563e-19	         9.19837e-19	         4.84584e-19	         3.56831e-19
       69        737634        08d12h53min54s	         7.57691e-19	         7.22967e-19	         6.80501e-19	         9.19913e-19	         4.84483e-19	         3.56669e-19
       70        853577        09d21h06min17s	         7.57307e-19	         7.23911e-19	         6.81727e-19	         9.19413e-19	          4.8465e-19	         3.56452e-19
       71        985672        11d09h47min52s	         7.58217e-19	         7.24036e-19	         6.81171e-19	         9.19597e-19	         4.84542e-19	         3.56656e-19
       72   1.13589e+06        13d03h31min28s	           7.563e-19	         7.22986e-19	         6.81616e-19	           9.194e-19	         4.84848e-19	         3.56482e-19
       73    1.3064e+06        15d02h53min22s	         7.58703e-19	         7.24243e-19	         6.81533e-19	         9.20425e-19	         4.84855e-19	         3.56382e-19
       74   1.49962e+06        17d08h33min38s	         7.57737e-19	         7.22905e-19	          6.8114e-19	         9.19837e-19	         4.84918e-19	         3.56717e-19
       75   1.71818e+06        19d21h16min22s	         7.57759e-19	         7.23706e-19	         6.81209e-19	         9.20383e-19	         4.85119e-19	         3.56556e-19
       76   1.96501e+06        22d17h50min10s	         7.57934e-19	           7.241e-19	         6.80251e-19	         9.20285e-19	         4.84762e-19	         3.56193e-19
       77    2.2433e+06        25d23h08min23s	         7.57491e-19	         7.23769e-19	         6.81576e-19	         9.20043e-19	         4.84739e-19	          3.5671e-19
       78   2.55658e+06        29d14h09min39s	         7.58589e-19	         7.23344e-19	         6.80426e-19	         9.19987e-19	         4.84762e-19	         3.56569e-19
       79   2.90869e+06    01mo03d15h58min14s	         7.58082e-19	         7.23418e-19	         6.81119e-19	         9.20237e-19	         4.84825e-19	          3.5659e-19
       80   3.30387e+06    01mo08d05h44min30s	         7.58285e-19	         7.23906e-19	         6.81933e-19	         9.20189e-19	         4.84775e-19	           3.565e-19
       81   3.74673e+06    01mo13d08h45min26s	         7.58351e-19	         7.24622e-19	         6.81612e-19	         9.19579e-19	         4.85045e-19	         3.56388e-19
       82   4.24231e+06    01mo19d02h25min08s	         7.58039e-19	         7.23343e-19	         6.82303e-19	         9.19824e-19	          4.8488e-19	         3.56742e-19
       83   4.79613e+06    01mo25d12h15min26s	         7.56831e-19	         7.23581e-19	          6.8064e-19	         9.19666e-19	         4.84797e-19	         3.56554e-19
       84   5.41418e+06    02mo02d15h56min23s	         7.57837e-19	         7.23882e-19	         6.81284e-19	         9.19819e-19	          4.8482e-19	         3.56215e-19
       85   6.10302e+06    02mo10d15h17min01s	         7.57543e-19	         7.22895e-19	         6.81099e-19	         9.19858e-19	         4.85209e-19	         3.56488e-19
       86   6.86976e+06    02mo19d12h15min55s	         7.58958e-19	         7.24347e-19	         6.81558e-19	         9.20419e-19	         4.85321e-19	          3.5591e-19
       87   7.72212e+06    02mo29d09h02min---	         7.56454e-19	         7.22405e-19	         6.80405e-19	         9.20242e-19	         4.84818e-19	         3.56236e-19
       88   8.66851e+06    03mo10d07h55min12s	         7.57291e-19	         7.24094e-19	         6.81588e-19	         9.20061e-19	          4.8514e-19	         3.56463e-19
       89   9.71804e+06    03mo22d11h27min21s	         7.56356e-19	          7.2357e-19	         6.79975e-19	         9.19298e-19	         4.85258e-19	         3.56273e-19
       90   1.08806e+07    04mo05d22h23min01s	          7.5887e-19	         7.23161e-19	         6.81509e-19	         9.19506e-19	          4.8487e-19	         3.56319e-19
       91   1.21668e+07    04mo20d19h40min21s	         7.57804e-19	         7.23562e-19	          6.8216e-19	           9.204e-19	          4.8508e-19	         3.56275e-19
       92   1.35883e+07    05mo07d06h32min06s	         7.58373e-19	         7.22939e-19	         6.81846e-19	          9.2027e-19	         4.85157e-19	         3.56274e-19
       93   1.51576e+07    05mo25d10h26min35s	         7.57601e-19	         7.22284e-19	         6.81316e-19	         9.19046e-19	         4.85455e-19	         3.56251e-19
       94   1.68881e+07    06mo15d11h08min48s	         7.57318e-19	         7.23699e-19	         6.81587e-19	         9.20474e-19	         4.84951e-19	         3.55854e-19
       95   1.87945e+07    07mo07d12h41min31s	         7.57788e-19	         7.23311e-19	         6.80933e-19	         9.19214e-19	         4.84905e-19	         3.56821e-19
       96   2.11389e+07    08mo04d15h54min49s	         7.57748e-19	         7.23876e-19	         6.80841e-19	         9.20148e-19	         4.85294e-19	         3.56015e-19
       97   2.44235e+07    09mo12d16h18min42s	         7.57685e-19	         7.23248e-19	         6.80553e-19	         9.19912e-19	         4.85112e-19	         3.56304e-19
       98   2.90255e+07    11mo05d22h37min59s	         7.57612e-19	         7.23302e-19	         6.80526e-19	         9.19536e-19	         4.85643e-19	         3.56107e-19
