Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           113	           114	           114	           114	           113
       13	  0.0301015                    0s	             0	     764508908	           179	           180	           180	           180	           179
       14	  0.0467598                    0s	             0	     764508390	           282	           283	           283	           283	           282
       15	  0.0726063                    0s	             0	     764507587	           442	           443	           443	           443	           442
       16	   0.112709                    0s	             0	     764506340	           691	           692	           692	           692	           691
       17	   0.174931                    0s	             0	     764504405	          1076	          1079	          1079	          1078	          1078
       18	   0.271473                    0s	             0	     764501403	          1676	          1680	          1678	          1679	          1678
       19	   0.421265                    0s	             0	     764496745	          2606	          2611	          2610	          2610	          2609
       20	   0.653677                    1s	             0	     764489518	          4047	          4057	          4056	          4058	          4052
       21	    1.01428                    1s	             0	     764478304	          6292	          6300	          6296	          6301	          6292
       22	    1.57378                    2s	             0	     764460905	          9767	          9783	          9775	          9777	          9775
       23	    2.44189                    2s	             0	     764433910	         15161	         15183	         15174	         15177	         15174
       24	    3.78882                    4s	             0	     764392027	         23530	         23561	         23552	         23555	         23552
       25	    5.87868                    6s	             0	     764327048	         36514	         36560	         36548	         36554	         36551
       26	    9.12123                    9s	             0	     764226240	         56655	         56728	         56713	         56721	         56717
       27	    14.1523                   14s	             0	     764069856	         87900	         88017	         87992	         88002	         88004
       28	    21.9583                   22s	             0	     763827282	        136356	        136553	        136520	        136534	        136524
       29	    34.0699                   34s	             0	     763451073	        211516	        211820	        211773	        211806	        211779
       30	     52.862                   53s	             0	     762867738	        328056	        328518	        328460	        328468	        328525
       31	    82.0191               1min22s	             0	     761963570	        508699	        509315	        509328	        509372	        509478
       32	    127.259               2min 7s	             0	     760562962	        788579	        789295	        789635	        789630	        789659
       33	    197.451               3min17s	             0	     758395148	       1221595	       1222998	       1223264	       1223317	       1223436
       34	    306.359               5min 6s	             0	     755044489	       1890835	       1893327	       1893832	       1893752	       1893521
       35	    475.337               7min55s	             0	     749876362	       2922797	       2928347	       2927275	       2927334	       2927639
       36	    737.519              12min18s	             0	     741931686	       4507906	       4516862	       4518357	       4516947	       4517994
       37	    1144.31              19min 4s	             0	     729781000	       6931194	       6949568	       6948439	       6948937	       6950611
       38	    1775.48              29min35s	             0	     711341216	      10604323	      10642058	      10643196	      10638516	      10640439
       39	    2754.78              45min55s	             0	     683699700	      16095627	      16172342	      16198837	      16170740	      16172499
       40	    4274.24            1h11min14s	             0	     643060572	      24147246	      24333823	      24342044	      24322169	      24303889
       41	    6631.79            1h50min32s	             0	     585063108	      35584125	      35978380	      35977620	      35963473	      35943036
       42	    10289.7            2h51min30s	             0	     506091534	      51057294	      51851847	      51821717	      51887698	      51799650
       43	    15965.2            4h26min 5s	             0	     406610949	      70497144	      71853014	      71842033	      71915427	      71791171
       44	    24771.1            6h52min51s	             0	     295130799	      92290161	      94266710	      94353891	      94379288	      94088886
       45	    38434.1           10h40min34s	             0	     194241522	     112081089	     114444565	     114379378	     114446916	     114916263
       46	    59633.2           16h33min53s	             0	     134121419	     125084713	     126430492	     126341223	     126306491	     126225394
       47	    81757.7           22h42min38s	             0	     127628679	     127269226	     127007602	     127418030	     127747107	     127439086
       48	     103882         1d 4h51min22s	             0	     127514479	     127434218	     127499924	     127544845	     127191377	     127324886
       49	     126007         1d11h      7s	             0	     127092396	     127663510	     127238445	     127541859	     127331739	     127641780
       50	     148131         1d17h 8min51s	             0	     127502156	     127183410	     127606400	     127802314	     127159540	     127255909
       51	     170256         1d23h17min36s	             0	     127595051	     127090515	     127462413	     127803309	     127145606	     127412835
       52	     192381         2d 5h26min21s	             0	     127387294	     127196716	     127311408	     127654959	     127438988	     127520364
       53	     214505         2d11h35min 5s	             0	     127255218	     127597258	     127362512	     127442244	     127847494	     127005002
       54	     236630         2d17h43min50s	             0	     127661743	     127169826	     127407644	     127617796	     126775263	     127877455
       55	     258754         2d23h52min34s	             0	     127350595	     127519784	     127155210	     127281438	     127680180	     127522521
       56	     280879         3d 6h 1min19s	             0	     126852441	     127233371	     127352015	     127831034	     127999118	     127241750
       57	     303003         3d12h10min 3s	             0	     127351839	     127336237	     127155906	     127627957	     127506689	     127531102
       58	     325128         3d18h18min48s	             0	     127532916	     127445347	     127052102	     127381215	     127604855	     127493295
       59	     347253         4d   27min33s	             0	     127851570	     127166651	     127433882	     127377186	     127215352	     127465090
