Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	5.42669e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000137983                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	0.000267128                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000466358                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000773702                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00124783                    0s	             0	     764509801	             4	             4	             4	             4	             4
        7	 0.00197926                    0s	             0	     764509779	             8	             8	             8	             8	             8
        8	 0.00310761                    0s	             0	     764509744	            15	            15	            15	            15	            15
        9	 0.00484828                    0s	             0	     764509690	            25	            25	            25	            25	            25
       10	 0.00753356                    0s	             0	     764509607	            41	            41	            41	            41	            41
       11	  0.0116761                    0s	             0	     764509479	            66	            66	            66	            66	            66
       12	  0.0180665                    0s	             0	     764509281	           105	           105	           105	           105	           105
       13	   0.027925                    0s	             0	     764508975	           166	           166	           166	           166	           166
       14	  0.0431332                    0s	             0	     764508503	           260	           260	           260	           260	           260
       15	  0.0665946                    0s	             0	     764507774	           405	           406	           406	           405	           405
       16	   0.102788                    0s	             0	     764506649	           628	           631	           631	           629	           631
       17	   0.158622                    0s	             0	     764504913	           975	           978	           978	           976	           978
       18	   0.244755                    0s	             0	     764502235	          1510	          1513	          1513	          1511	          1514
       19	    0.37763                    0s	             0	     764498103	          2335	          2339	          2339	          2337	          2340
       20	   0.582612                    1s	             0	     764491729	          3609	          3614	          3613	          3612	          3615
       21	   0.898832                    1s	             0	     764481896	          5574	          5580	          5580	          5579	          5582
       22	    1.38665                    1s	             0	     764466726	          8605	          8613	          8615	          8613	          8618
       23	     2.1392                    2s	             0	     764443325	         13278	         13294	         13298	         13295	         13300
       24	    3.30013                    3s	             0	     764407226	         20491	         20519	         20517	         20516	         20519
       25	    5.09107                    5s	             0	     764351540	         31614	         31657	         31663	         31660	         31652
       26	    7.85389                    8s	             0	     764265643	         48770	         48835	         48856	         48846	         48834
       27	     12.116                   12s	             0	     764133152	         75240	         75326	         75386	         75326	         75353
       28	     18.691                   19s	             0	     763928807	        116058	        116130	        116292	        116268	        116227
       29	    28.8341                   29s	             0	     763613688	        179040	        179130	        179263	        179367	        179291
       30	    44.4816                   44s	             0	     763127835	        275947	        276308	        276567	        276552	        276568
       31	    68.6204               1min 9s	             0	     762378997	        425531	        426325	        426186	        426453	        426283
       32	    105.859               1min46s	             0	     761225175	        655582	        657280	        656752	        657786	        657199
       33	    163.305               2min43s	             0	     759449004	       1010040	       1012788	       1011914	       1013510	       1012516
       34	    251.925               4min12s	             0	     756717438	       1557080	       1558797	       1559237	       1558840	       1558378
       35	    388.637               6min29s	             0	     752522947	       2395995	       2395932	       2399460	       2398456	       2396977
       36	    599.539              10min   	             0	     746101532	       3676874	       3677190	       3687321	       3683460	       3683388
       37	     924.89              15min25s	             0	     736307423	       5634942	       5638820	       5641319	       5637820	       5649439
       38	     1426.8              23min47s	             0	     721468123	       8582565	       8621389	       8609017	       8604815	       8623852
       39	    2201.08              36min41s	             0	     699182398	      13025305	      13071287	      13082640	      13062256	      13085873
       40	    3395.53              56min36s	             0	     666249822	      19546610	      19686050	      19691290	      19670648	      19665336
       41	    5238.18            1h27min18s	             0	     618702812	      28942406	      29248953	      29169925	      29236342	      29209316
       42	    8080.78            2h14min41s	             0	     552329556	      42049231	      42551269	      42429259	      42627676	      42522760
       43	      12466            3h27min46s	             0	     465109644	      59055024	      60131110	      59871321	      60238095	      60104556
       44	    19230.9            5h20min31s	             0	     359998153	      79736038	      81170404	      81133873	      81204252	      81267027
       45	    29666.9            8h14min27s	             0	     251327321	     101197807	     102907170	     103426633	     102518523	     103132292
       46	    45766.1           12h42min46s	             0	     164581016	     118858788	     120647079	     120469499	     119752529	     120200833
       47	    67890.7           18h51min31s	             0	     129577127	     127538453	     127945955	     126330540	     126640386	     126477281
       48	    90015.3         1d 1h     15s	             0	     126956521	     128103446	     127481138	     127306922	     127288191	     127373523
       49	     112140         1d 7h 9min   	             0	     127804038	     127189195	     127155478	     128281233	     127649887	     126429910
       50	     134264         1d13h17min44s	             0	     127025906	     127365678	     127773170	     127454969	     127695344	     127194672
       51	     156389         1d19h26min29s	             0	     127845126	     127381714	     128486814	     126937778	     127200872	     126657435
       52	     178514         2d 1h35min14s	             0	     127696756	     126478122	     127103356	     127631512	     128052333	     127547660
       53	     200638         2d 7h43min58s	             0	     127596578	     128067622	     127235591	     127168019	     126707269	     127734660
       54	     222763         2d13h52min43s	             0	     128769640	     127615436	     127152035	     127649695	     127138156	     126184776
       55	     244887         2d20h 1min27s	             0	     126965686	     128416647	     127981100	     126433951	     127598565	     127113788
       56	     267012         3d 2h10min12s	             0	     127292953	     126451406	     128939993	     127284846	     127479113	     127061426
