Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	5.42669e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000137983                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	0.000267128                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000466358                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000773702                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00124783                    0s	             0	     764509801	             4	             4	             4	             4	             4
        7	 0.00197926                    0s	             0	     764509779	             8	             8	             8	             8	             8
        8	 0.00310761                    0s	             0	     764509744	            15	            15	            15	            15	            15
        9	 0.00484828                    0s	             0	     764509690	            25	            25	            25	            25	            25
       10	 0.00753356                    0s	             0	     764509607	            41	            41	            41	            41	            41
       11	  0.0116761                    0s	             0	     764509479	            66	            66	            66	            66	            66
       12	  0.0180665                    0s	             0	     764509281	           105	           105	           105	           105	           105
       13	   0.027925                    0s	             0	     764508975	           166	           166	           166	           166	           166
       14	  0.0431332                    0s	             0	     764508503	           260	           260	           260	           260	           260
       15	  0.0665946                    0s	             0	     764507774	           405	           406	           406	           405	           406
       16	   0.102788                    0s	             0	     764506649	           629	           631	           630	           629	           632
       17	   0.158622                    0s	             0	     764504913	           976	           978	           977	           976	           979
       18	   0.244755                    0s	             0	     764502235	          1511	          1513	          1512	          1511	          1514
       19	    0.37763                    0s	             0	     764498103	          2337	          2339	          2338	          2337	          2340
       20	   0.582612                    1s	             0	     764491729	          3610	          3614	          3613	          3612	          3615
       21	   0.898832                    1s	             0	     764481896	          5574	          5581	          5580	          5579	          5582
       22	    1.38665                    1s	             0	     764466726	          8604	          8615	          8614	          8615	          8615
       23	     2.1392                    2s	             0	     764443325	         13280	         13297	         13294	         13295	         13297
       24	    3.30013                    3s	             0	     764407225	         20495	         20517	         20516	         20516	         20516
       25	    5.09107                    5s	             0	     764351539	         31621	         31660	         31657	         31655	         31652
       26	    7.85389                    8s	             0	     764265642	         48783	         48844	         48823	         48851	         48839
       27	     12.116                   12s	             0	     764133149	         75249	         75362	         75314	         75360	         75347
       28	     18.691                   19s	             0	     763928803	        116058	        116228	        116209	        116246	        116234
       29	    28.8341                   29s	             0	     763613678	        178984	        179295	        179229	        179249	        179341
       30	    44.4816                   44s	             0	     763127825	        275964	        276614	        276451	        276324	        276596
       31	    68.6204               1min 9s	             0	     762378949	        425461	        426465	        426567	        426030	        426299
       32	    105.859               1min46s	             0	     761225159	        656300	        657481	        657600	        656954	        656275
       33	    163.305               2min43s	             0	     759449084	       1011526	       1012682	       1012534	       1012935	       1011007
       34	    251.925               4min12s	             0	     756717624	       1555572	       1559755	       1561002	       1559411	       1556403
       35	    388.637               6min29s	             0	     752524458	       2391119	       2399508	       2398638	       2396808	       2399233
       36	    599.539              10min   	             0	     746103318	       3670810	       3687086	       3680990	       3686684	       3680874
       37	     924.89              15min25s	             0	     736307333	       5628359	       5641646	       5636314	       5647054	       5649054
       38	     1426.8              23min47s	             0	     721457548	       8583824	       8613120	       8600150	       8621621	       8633495
       39	    2201.08              36min41s	             0	     699188268	      13002723	      13091534	      13074040	      13071285	      13081906
       40	    3395.53              56min36s	             0	     666231497	      19537942	      19699006	      19691986	      19658492	      19690831
       41	    5238.18            1h27min18s	             0	     618663656	      28933793	      29223743	      29231954	      29200220	      29256386
       42	    8080.78            2h14min41s	             0	     552341427	      42034422	      42436306	      42581591	      42547690	      42568314
       43	      12466            3h27min46s	             0	     464967720	      59100197	      60004593	      60179364	      60135929	      60121945
       44	    19230.9            5h20min31s	             0	     359861351	      79436882	      81164057	      81419852	      81473839	      81153764
       45	    29666.9            8h14min27s	             0	     250879384	     100871541	     103229911	     103050847	     103340112	     103137947
       46	    45766.1           12h42min46s	             0	     164604418	     118806099	     119868078	     120145697	     120570147	     120515300
       47	    67890.7           18h51min31s	             0	     129895773	     125766966	     127239261	     126586057	     127223640	     127798040
       48	    90015.3         1d 1h     15s	             0	     128284097	     127216897	     126875335	     128470678	     126656088	     127006644
       49	     112140         1d 7h 9min   	             0	     127904487	     127880491	     127325941	     127740435	     126340229	     127318156
       50	     134264         1d13h17min44s	             0	     126155729	     128570142	     127520086	     127801286	     126816899	     127645595
       51	     156389         1d19h26min29s	             0	     127425993	     128293494	     127631614	     127181363	     127113825	     126863449
       52	     178514         2d 1h35min14s	             0	     126917292	     126765940	     127986690	     128123402	     127474698	     127241714
       53	     200638         2d 7h43min58s	             0	     127267929	     126458770	     129990542	     127254052	     127528307	     126010135
       54	     222763         2d13h52min43s	             0	     126702216	     127761362	     127853885	     127718227	     127299121	     127174925
       55	     244887         2d20h 1min27s	             0	     127773380	     126906170	     128477160	     126373111	     128083288	     126896626
       56	     267012         3d 2h10min12s	             0	     127659784	     126818268	     127753657	     127080386	     127879085	     127318557
