Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           114	           113	           114	           114	           114
       13	  0.0301015                    0s	             0	     764508908	           180	           179	           180	           180	           180
       14	  0.0467598                    0s	             0	     764508390	           283	           282	           283	           283	           283
       15	  0.0726063                    0s	             0	     764507587	           443	           442	           444	           443	           444
       16	   0.112709                    0s	             0	     764506340	           692	           691	           693	           692	           693
       17	   0.174931                    0s	             0	     764504405	          1080	          1078	          1078	          1078	          1080
       18	   0.271473                    0s	             0	     764501403	          1679	          1679	          1677	          1680	          1678
       19	   0.421265                    0s	             0	     764496745	          2611	          2609	          2608	          2611	          2609
       20	   0.653677                    1s	             0	     764489518	          4056	          4053	          4054	          4057	          4053
       21	    1.01428                    1s	             0	     764478304	          6296	          6297	          6296	          6299	          6297
       22	    1.37488                    1s	             0	     764467091	          8536	          8541	          8538	          8542	          8540
       23	    1.73549                    2s	             0	     764455878	         10775	         10783	         10782	         10784	         10783
       24	    2.29499                    2s	             0	     764438480	         14251	         14265	         14262	         14263	         14262
       25	    2.85449                    3s	             0	     764421082	         17728	         17744	         17742	         17742	         17742
       26	     3.7226                    4s	             0	     764394089	         23123	         23143	         23143	         23137	         23142
       27	    5.06953                    5s	             0	     764352209	         31488	         31523	         31520	         31514	         31520
       28	    7.15939                    7s	             0	     764287234	         44478	         44529	         44513	         44503	         44513
       29	    10.4019                   10s	             0	     764186432	         64613	         64690	         64669	         64668	         64696
       30	     15.433                   15s	             0	     764030059	         95839	         95974	         95946	         95969	         95980
       31	     23.239                   23s	             0	     763787498	        144293	        144498	        144463	        144503	        144509
       32	    35.3507                   35s	             0	     763411307	        219480	        219751	        219676	        219747	        219801
       33	    54.1427                   54s	             0	     762827984	        336051	        336354	        336319	        336356	        336696
       34	    83.2998               1min23s	             0	     761923912	        516575	        516932	        517353	        517319	        517666
       35	    128.539               2min 9s	             0	     760523365	        796626	        796506	        797728	        797705	        797825
       36	    198.731               3min19s	             0	     758355433	       1230418	       1231079	       1231152	       1231078	       1230593
       37	    307.639               5min 8s	             0	     755005424	       1898251	       1901261	       1902616	       1902555	       1899643
       38	    476.618               7min57s	             0	     749836484	       2931369	       2937871	       2938164	       2934496	       2931364
       39	    738.799              12min19s	             0	     741888190	       4518639	       4535708	       4530129	       4516193	       4520887
       40	    1145.59              19min 6s	             0	     729733566	       6943121	       6965627	       6962957	       6957707	       6946767
       41	    1776.76              29min37s	             0	     711301508	      10597723	      10665080	      10658250	      10650123	      10637059
       42	    2756.06              45min56s	             0	     683669653	      16097402	      16184362	      16197970	      16190609	      16169746
       43	    4275.52            1h11min16s	             0	     643032856	      24159033	      24289985	      24371429	      24346957	      24309480
       44	    6633.07            1h50min33s	             0	     585022223	      35597345	      35995985	      36007655	      35982122	      35904408
       45	      10291            2h51min31s	             0	     506174018	      51120104	      51819759	      51857748	      51831209	      51706897
       46	    15966.4            4h26min 6s	             0	     406344933	      70649319	      72035683	      71806910	      71781803	      71891086
       47	    24772.4            6h52min52s	             0	     294876377	      92365997	      94315447	      94400880	      94118877	      94432154
       48	    38435.3           10h40min35s	             0	     194262938	     112621823	     114876584	     113986832	     114134915	     114626639
       49	    59634.4           16h33min54s	             0	     133229971	     125802980	     126958477	     126479384	     125816165	     126222752
       50	      81759           22h42min39s	             0	     127957823	     127055899	     128676232	     126819996	     126653671	     127346105
       51	     103884         1d 4h51min24s	             0	     128205229	     127564014	     127652021	     126597862	     127080647	     127409951
       52	     126008         1d11h      8s	             0	     127703105	     127500253	     127745006	     127397541	     126720659	     127443160
       53	     148133         1d17h 8min53s	             0	     127612825	     126724903	     127414420	     127538272	     127643379	     127575925
       54	     170257         1d23h17min37s	             0	     126907022	     126603947	     126608927	     127758918	     128539257	     128091653
       55	     192382         2d 5h26min22s	             0	     127980314	     126719511	     126909130	     127186407	     127925568	     127788794
       56	     214506         2d11h35min 6s	             0	     127726503	     127942060	     128167558	     127399024	     126000053	     127274526
       57	     236631         2d17h43min51s	             0	     127981577	     127762711	     127656082	     127561102	     126775903	     126772349
       58	     258756         2d23h52min36s	             0	     128058619	     127329681	     126585461	     128105710	     127432090	     126998162
       59	     280880         3d 6h 1min20s	             0	     127592275	     127388140	     127997780	     127118548	     127004276	     127408704
       60	     303005         3d12h10min 5s	             0	     127696083	     126646841	     127305724	     126583535	     127990456	     128287083
       61	     325129         3d18h18min49s	             0	     126530745	     126804965	     127841221	     128362769	     126712172	     128257850
       62	     347254         4d   27min34s	             0	     127374815	     127427051	     127060954	     127710110	     127378124	     127558667
