Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509835	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509832	             1	             1	             1	             1	             1
        3	 0.00027352                    0s	             0	     764509828	             2	             2	             2	             2	             2
        4	0.000479543                    0s	             0	     764509822	             3	             3	             3	             3	             3
        5	0.000799202                    0s	             0	     764509812	             5	             5	             5	             5	             5
        6	 0.00129518                    0s	             0	     764509797	             8	             8	             8	             8	             8
        7	 0.00206471                    0s	             0	     764509773	            13	            13	            13	            13	            13
        8	  0.0032587                    0s	             0	     764509736	            20	            20	            20	            20	            20
        9	 0.00511127                    0s	             0	     764509678	            31	            32	            32	            32	            32
       10	 0.00798565                    0s	             0	     764509589	            49	            50	            50	            50	            50
       11	  0.0124454                    0s	             0	     764509450	            77	            78	            78	            78	            78
       12	  0.0193651                    0s	             0	     764509235	           120	           121	           121	           121	           121
       13	  0.0301015                    0s	             0	     764508901	           187	           188	           188	           188	           188
       14	  0.0467598                    0s	             0	     764508383	           290	           291	           292	           292	           292
       15	  0.0726063                    0s	             0	     764507579	           451	           452	           453	           452	           453
       16	   0.112709                    0s	             0	     764506332	           700	           702	           702	           702	           702
       17	   0.174931                    0s	             0	     764504397	          1088	          1089	          1088	          1089	          1089
       18	   0.271473                    0s	             0	     764501395	          1688	          1689	          1688	          1690	          1690
       19	   0.421265                    0s	             0	     764496737	          2618	          2622	          2620	          2622	          2622
       20	   0.653677                    1s	             0	     764489509	          4062	          4067	          4066	          4066	          4069
       21	    1.01428                    1s	             0	     764478295	          6302	          6309	          6309	          6311	          6314
       22	    1.57378                    2s	             0	     764460896	          9781	          9786	          9790	          9795	          9792
       23	    2.44189                    2s	             0	     764433901	         15183	         15177	         15192	         15193	         15195
       24	    3.78882                    4s	             0	     764392018	         23553	         23551	         23575	         23564	         23580
       25	    5.87868                    6s	             0	     764327039	         36537	         36562	         36565	         36586	         36551
       26	    9.12123                    9s	             0	     764226232	         56672	         56714	         56734	         56793	         56695
       27	    14.1523                   14s	             0	     764069849	         87883	         87998	         88037	         88057	         88015
       28	    21.9583                   22s	             0	     763827280	        136318	        136428	        136681	        136589	        136543
       29	    34.0699                   34s	             0	     763451073	        211480	        211606	        211923	        211908	        211849
       30	     52.862                   53s	             0	     762867726	        327801	        328417	        328749	        328677	        328468
       31	    82.0191               1min22s	             0	     761963520	        508036	        509307	        509882	        509480	        509613
       32	    127.259               2min 7s	             0	     760562802	        787750	        789238	        790261	        789532	        790255
       33	    197.451               3min17s	             0	     758394924	       1220921	       1222291	       1224062	       1223496	       1224145
       34	    306.359               5min 6s	             0	     755043941	       1889078	       1893342	       1894890	       1893917	       1894671
       35	    475.337               7min55s	             0	     749875507	       2920389	       2927027	       2931096	       2927840	       2927980
       36	    737.519              12min18s	             0	     741930212	       4505817	       4518961	       4520463	       4516674	       4517712
       37	    1144.31              19min 4s	             0	     729776258	       6930979	       6954876	       6946021	       6949501	       6952203
       38	    1775.48              29min35s	             0	     711337028	      10598848	      10648388	      10635899	      10650724	      10638950
       39	    2754.78              45min55s	             0	     683687173	      16085473	      16183248	      16176104	      16191007	      16186833
       40	    4274.24            1h11min14s	             0	     643044356	      24148089	      24328340	      24328730	      24323321	      24337003
       41	    6631.79            1h50min32s	             0	     585059055	      35560686	      35965651	      35981217	      35974880	      35968350
       42	    10289.7            2h51min30s	             0	     506147400	      51059358	      51831658	      51777835	      51801293	      51892295
       43	    15965.2            4h26min 5s	             0	     406587535	      70565945	      71778632	      71802957	      71874040	      71900730
       44	    24771.1            6h52min51s	             0	     295419016	      92321912	      94173726	      94159877	      94331553	      94103755
       45	    38434.1           10h40min34s	             0	     194270944	     112456589	     114583433	     114475760	     114401824	     114321289
       46	    59633.2           16h33min53s	             0	     133799711	     125159017	     126092938	     126264978	     126442003	     126751192
       47	    81757.7           22h42min38s	             0	     128120118	     126533289	     127260438	     127790839	     127445946	     127359209
       48	     103882         1d 4h51min22s	             0	     127509582	     127609280	     127377964	     127098301	     127319788	     127594924
       49	     126007         1d11h      7s	             0	     127822901	     127433038	     127225619	     127436513	     126933781	     127657986
       50	     148131         1d17h 8min51s	             0	     127263071	     127465227	     127456254	     127396027	     127592171	     127337087
       51	     170256         1d23h17min36s	             0	     127543856	     127131670	     127741354	     127182617	     127471029	     127439311
       52	     192381         2d 5h26min21s	             0	     127392485	     127212667	     127569402	     127752249	     127213101	     127369933
       53	     214505         2d11h35min 5s	             0	     127378209	     127489225	     127319404	     127171908	     127795434	     127355657
       54	     236630         2d17h43min50s	             0	     127651376	     127471633	     127851134	     126827047	     127468828	     127239818
       55	     258754         2d23h52min34s	             0	     127688226	     127467649	     127290745	     127575339	     127413055	     127074822
       56	     280879         3d 6h 1min19s	             0	     127252715	     127768391	     127568914	     127333020	     126944350	     127642447
       57	     303003         3d12h10min 3s	             0	     127358633	     127499447	     127770788	     127266946	     127455012	     127159011
       58	     325128         3d18h18min48s	             0	     127487770	     127805524	     127586876	     127157064	     127185120	     127287484
       59	     347253         4d   27min33s	             0	     127608327	     127112407	     127579902	     127280942	     127356822	     127571439
