Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           114	           113	           114	           114	           114
       13	  0.0301015                    0s	             0	     764508908	           180	           179	           180	           180	           180
       14	  0.0467598                    0s	             0	     764508390	           283	           282	           283	           283	           283
       15	  0.0726063                    0s	             0	     764507587	           443	           442	           443	           443	           443
       16	   0.112709                    0s	             0	     764506340	           692	           691	           692	           692	           692
       17	   0.174931                    0s	             0	     764504405	          1079	          1077	          1078	          1079	          1078
       18	   0.271473                    0s	             0	     764501403	          1678	          1675	          1680	          1680	          1678
       19	   0.421265                    0s	             0	     764496745	          2609	          2607	          2612	          2611	          2608
       20	   0.653677                    1s	             0	     764489518	          4053	          4052	          4057	          4057	          4054
       21	   0.886089                    1s	             0	     764482291	          5497	          5497	          5502	          5502	          5499
       22	     1.1185                    1s	             0	     764475064	          6942	          6942	          6947	          6947	          6944
       23	    1.35091                    1s	             0	     764467837	          8386	          8387	          8392	          8392	          8389
       24	    1.58333                    2s	             0	     764460610	          9830	          9832	          9837	          9838	          9834
       25	    1.81574                    2s	             0	     764453383	         11273	         11278	         11283	         11283	         11279
       26	    2.04815                    2s	             0	     764446156	         12717	         12723	         12728	         12728	         12724
       27	    2.28056                    2s	             0	     764438929	         14161	         14168	         14173	         14173	         14169
