     time[s]	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
             0	           0	   764509837	           0	           0	           0	           0	           0

   4.35974e-05	           0	   764509836	           0	           0	           0	           0	           0

   0.000106202	           0	   764509835	           0	           0	           0	           0	           0

   0.000196101	           0	   764509833	           0	           0	           0	           0	           0

   0.000325193	           0	   764509829	           0	           0	           0	           0	           0

   0.000510567	           0	   764509824	           1	           1	           1	           1	           1

   0.000776758	           0	   764509816	           2	           2	           2	           2	           2

      0.001159	           0	   764509805	           4	           4	           4	           4	           4

    0.00170789	           0	   764509788	           7	           7	           7	           7	           7

    0.00249609	           0	   764509764	          11	          11	          11	          11	          11

    0.00362792	           0	   764509729	          18	          18	          18	          18	          18

     0.0052532	           0	   764509679	          28	          28	          28	          28	          28

    0.00758705	           0	   764509607	          42	          42	          42	          42	          42

     0.0109384	           0	   764509503	          62	          62	          62	          62	          62

     0.0157509	           0	   764509354	          91	          91	          91	          91	          91

     0.0226614	           0	   764509140	         133	         133	         133	         133	         133

     0.0325848	           0	   764508832	         194	         194	         194	         194	         194

     0.0468346	           0	   764508389	         282	         282	         282	         283	         282

     0.0672969	           0	   764507753	         409	         409	         409	         410	         409

     0.0966802	           0	   764506840	         590	         591	         592	         592	         592

      0.138874	           0	   764505528	         852	         853	         854	         853	         855

      0.199463	           0	   764503644	        1228	        1230	        1230	        1230	        1231

      0.286467	           0	   764500939	        1768	        1771	        1771	        1771	        1772

      0.411403	           0	   764497054	        2544	        2548	        2548	        2548	        2548

      0.590808	           0	   764491475	        3658	        3664	        3664	        3664	        3664

      0.848428	           0	   764483464	        5259	        5265	        5266	        5266	        5266

       1.21836	           0	   764471960	        7555	        7566	        7567	        7567	        7568

       1.74958	           0	   764455441	       10855	       10869	       10872	       10872	       10873

        2.5124	           0	   764431720	       15597	       15613	       15615	       15614	       15620

       3.60779	           0	   764397659	       22397	       22434	       22434	       22421	       22431

       5.18073	           0	   764348751	       32176	       32223	       32224	       32196	       32205

       7.43944	           0	   764278526	       46221	       46275	       46268	       46236	       46247

       10.6829	           0	   764177697	       66386	       66435	       66446	       66356	       66451

       15.3404	           0	   764032930	       95330	       95387	       95417	       95306	       95399

       22.0285	           0	   763825098	      136880	      136914	      137035	      136869	      136970

       31.6323	           0	   763526766	      196437	      196587	      196687	      196556	      196731

       45.4233	           0	   763098548	      282168	      282134	      282206	      282307	      282400

       65.2267	           0	   762484147	      405299	      405061	      404782	      405197	      405275

       93.6639	           0	   761602727	      581744	      580993	      580819	      581699	      581777

       134.499	           0	   760338909	      835422	      833190	      833381	      834334	      834521

       193.137	           0	   758527811	     1198696	     1194481	     1194526	     1197058	     1197183

        277.34	           0	   755934591	     1720850	     1711798	     1712435	     1714651	     1715428

       398.253	           0	   752228450	     2471758	     2451542	     2450442	     2450434	     2457126

       571.881	           0	   746936144	     3552564	     3505881	     3503799	     3501587	     3509776

       821.207	           0	   739406980	     5103140	     5001247	     4997908	     5002524	     4997952

       1179.23	           0	   728728367	     7335662	     7106063	     7112742	     7110878	     7116038

       1693.35	           0	   713673498	    10535863	    10063555	    10084110	    10074888	    10077834

        2431.6	           0	   692603398	    15137876	    14179817	    14209743	    14186593	    14192319

       3491.72	           0	   663480320	    21741898	    19808477	    19852947	    19810392	    19815710

       5014.02	           0	   623872629	    31266895	    27334478	    27354362	    27341493	    27339886

          7200	           0	   571283600	    44992267	    37071990	    37081463	    37078538	    37001882
