Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        1	1.25091e-05                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        2	 2.6583e-05                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        3	4.24174e-05                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        4	6.02326e-05                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        5	8.02763e-05                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        6	0.000102827                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        7	0.000128199                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        8	0.000156745                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        9	0.000188861                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
       10	0.000224995                    0s	             0	     764509838	     764509837	     764509837	     764509837	     764509837	     764509837
       11	0.000265649                    0s	             0	     764509839	     764509837	     764509837	     764509837	     764509837	     764509837
       12	0.000311389                    0s	             0	     764509840	     764509837	     764509837	     764509837	     764509837	     764509837
       13	 0.00036285                    0s	             0	     764509841	     764509837	     764509837	     764509837	     764509837	     764509837
       14	0.000420749                    0s	             0	     764509842	     764509837	     764509837	     764509837	     764509837	     764509837
       15	 0.00048589                    0s	             0	     764509844	     764509837	     764509837	     764509837	     764509837	     764509837
       16	0.000559179                    0s	             0	     764509846	     764509837	     764509837	     764509837	     764509837	     764509837
       17	0.000641637                    0s	             0	     764509848	     764509837	     764509837	     764509837	     764509837	     764509837
       18	0.000734409                    0s	             0	     764509850	     764509837	     764509837	     764509837	     764509837	     764509837
       19	0.000838786                    0s	             0	     764509853	     764509837	     764509837	     764509837	     764509837	     764509837
       20	 0.00095622                    0s	             0	     764509856	     764509837	     764509837	     764509837	     764509837	     764509837
       21	 0.00108834                    0s	             0	     764509860	     764509837	     764509837	     764509837	     764509837	     764509837
       22	   0.001237                    0s	             0	     764509864	     764509837	     764509837	     764509837	     764509837	     764509837
       23	 0.00140424                    0s	             0	     764509869	     764509836	     764509836	     764509836	     764509836	     764509836
       24	 0.00159241                    0s	             0	     764509874	     764509835	     764509835	     764509835	     764509835	     764509835
       25	 0.00180411                    0s	             0	     764509880	     764509834	     764509834	     764509834	     764509834	     764509834
       26	  0.0020423                    0s	             0	     764509887	     764509833	     764509833	     764509833	     764509833	     764509833
       27	 0.00231029                    0s	             0	     764509895	     764509832	     764509832	     764509832	     764509832	     764509832
       28	 0.00261179                    0s	             0	     764509904	     764509831	     764509831	     764509831	     764509831	     764509831
       29	 0.00295101                    0s	             0	     764509914	     764509829	     764509829	     764509829	     764509829	     764509829
       30	 0.00333267                    0s	             0	     764509925	     764509827	     764509827	     764509827	     764509827	     764509827
       31	 0.00376206                    0s	             0	     764509938	     764509825	     764509825	     764509825	     764509825	     764509825
       32	 0.00424517                    0s	             0	     764509953	     764509822	     764509823	     764509822	     764509822	     764509823
       33	 0.00478871                    0s	             0	     764509969	     764509819	     764509820	     764509819	     764509819	     764509820
       34	 0.00540025                    0s	             0	     764509988	     764509816	     764509817	     764509816	     764509816	     764509817
       35	 0.00608828                    0s	             0	     764510009	     764509812	     764509813	     764509812	     764509812	     764509813
       36	 0.00686238                    0s	             0	     764510033	     764509808	     764509809	     764509808	     764509808	     764509809
       37	 0.00773332                    0s	             0	     764510060	     764509803	     764509804	     764509803	     764509803	     764509804
       38	 0.00871319                    0s	             0	     764510090	     764509797	     764509798	     764509797	     764509797	     764509799
       39	 0.00981565                    0s	             0	     764510124	     764509791	     764509792	     764509791	     764509791	     764509793
       40	   0.011056                    0s	             0	     764510162	     764509784	     764509785	     764509784	     764509784	     764509786
       41	  0.0124515                    0s	             0	     764510205	     764509776	     764509777	     764509776	     764509776	     764509778
