Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509835	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509832	             1	             1	             1	             1	             1
        3	 0.00027352                    0s	             0	     764509828	             2	             2	             2	             2	             2
        4	0.000479543                    0s	             0	     764509822	             3	             3	             3	             3	             3
        5	0.000799202                    0s	             0	     764509812	             5	             5	             5	             5	             5
        6	 0.00129518                    0s	             0	     764509797	             8	             8	             8	             8	             8
        7	 0.00206471                    0s	             0	     764509773	            13	            13	            13	            13	            13
        8	  0.0032587                    0s	             0	     764509736	            20	            20	            20	            20	            20
        9	 0.00511127                    0s	             0	     764509678	            32	            32	            32	            32	            32
       10	 0.00798565                    0s	             0	     764509589	            50	            50	            50	            50	            50
       11	  0.0124454                    0s	             0	     764509450	            78	            78	            78	            78	            78
       12	  0.0193651                    0s	             0	     764509235	           121	           121	           121	           121	           121
       13	  0.0301015                    0s	             0	     764508901	           188	           188	           188	           188	           188
       14	  0.0467598                    0s	             0	     764508383	           292	           292	           292	           292	           291
       15	  0.0726063                    0s	             0	     764507579	           453	           452	           453	           453	           452
       16	   0.112709                    0s	             0	     764506332	           703	           701	           702	           702	           702
       17	   0.174931                    0s	             0	     764504397	          1089	          1087	          1091	          1089	          1088
       18	   0.271473                    0s	             0	     764501395	          1689	          1685	          1693	          1691	          1688
       19	   0.421265                    0s	             0	     764496737	          2621	          2617	          2626	          2621	          2619
       20	   0.653677                    1s	             0	     764489509	          4065	          4058	          4070	          4069	          4068
       21	    1.01428                    1s	             0	     764478295	          6305	          6301	          6314	          6314	          6311
       22	    1.37488                    1s	             0	     764467081	          8547	          8544	          8557	          8557	          8555
       23	    1.73549                    2s	             0	     764455867	         10788	         10786	         10801	         10800	         10798
       24	    2.09609                    2s	             0	     764444653	         13029	         13029	         13045	         13042	         13042
       25	    2.65559                    3s	             0	     764427255	         16506	         16510	         16525	         16523	         16522
       26	     3.5237                    4s	             0	     764400261	         21902	         21914	         21922	         21921	         21921
       27	    4.87063                    5s	             0	     764358380	         30274	         30291	         30300	         30301	         30295
       28	    6.96049                    7s	             0	     764293403	         43254	         43301	         43293	         43298	         43291
       29	     10.203                   10s	             0	     764192599	         63371	         63471	         63453	         63481	         63465
       30	    15.2341                   15s	             0	     764036225	         94639	         94750	         94724	         94758	         94745
       31	    23.0401                   23s	             0	     763793670	        143202	        143204	        143257	        143329	        143180
       32	    35.1518                   35s	             0	     763417479	        218330	        218430	        218554	        218468	        218581
       33	    53.9438                   54s	             0	     762834143	        335184	        335007	        335317	        335127	        335065
       34	    83.1009               1min23s	             0	     761930058	        516101	        515559	        516415	        515802	        515908
       35	     128.34               2min 8s	             0	     760529457	        796214	        796052	        796538	        795472	        796111
       36	    198.532               3min19s	             0	     758361902	       1228478	       1229220	       1230270	       1229248	       1230727
       37	     307.44               5min 7s	             0	     755011378	       1895478	       1900031	       1900374	       1900407	       1902178
       38	    476.419               7min56s	             0	     749843129	       2930839	       2934743	       2932916	       2934739	       2933480
       39	      738.6              12min19s	             0	     741902394	       4520145	       4523204	       4519878	       4522474	       4521751
       40	    1145.39              19min 5s	             0	     729752982	       6946306	       6953378	       6941869	       6954365	       6960945
       41	    1776.56              29min37s	             0	     711321122	      10611450	      10625160	      10656831	      10650723	      10644560
       42	    2755.87              45min56s	             0	     683687099	      16083819	      16163083	      16198169	      16190019	      16187658
       43	    4275.32            1h11min15s	             0	     643053867	      24117810	      24297456	      24369347	      24329215	      24342152
       44	    6632.87            1h50min33s	             0	     585097681	      35511082	      35961108	      36045604	      35931264	      35963108
       45	    10290.8            2h51min31s	             0	     506082433	      51127186	      51842543	      51861573	      51825272	      51770840
       46	    15966.2            4h26min 6s	             0	     406632679	      70412501	      71974961	      71971000	      71787407	      71731299
       47	    24772.2            6h52min52s	             0	     295106585	      92355798	      94475804	      94786470	      93807246	      93977943
       48	    38435.2           10h40min35s	             0	     194704236	     112364237	     114596835	     114633365	     114289129	     113922044
       49	    59634.2           16h33min54s	             0	     134553771	     124526987	     125775963	     126119011	     126929244	     126604870
       50	    81758.8           22h42min39s	             0	     128397973	     127007223	     127710681	     127466762	     126734034	     127193174
       51	     103883         1d 4h51min23s	             0	     128035586	     127894537	     127325645	     126656721	     127666647	     126930710
       52	     126008         1d11h      8s	             0	     126906263	     127767872	     127485643	     127206049	     127294650	     127849368
       53	     148133         1d17h 8min53s	             0	     128254253	     127646540	     127126979	     127759378	     125891994	     127830701
       54	     170257         1d23h17min37s	             0	     126333192	     128013664	     127755763	     127175984	     127555400	     127675841
       55	     192382         2d 5h26min22s	             0	     127572847	     127860538	     126492141	     127580769	     127663254	     127340295
       56	     214506         2d11h35min 6s	             0	     127301704	     127172662	     127209402	     128207204	     127418824	     127200048
       57	     236631         2d17h43min51s	             0	     127006973	     128011513	     127261413	     127412363	     127510844	     127306738
       58	     258755         2d23h52min35s	             0	     127037618	     127900925	     127467933	     126866085	     127267017	     127970266
       59	     280880         3d 6h 1min20s	             0	     126808473	     127745053	     127573180	     127372335	     127759945	     127250858
       60	     303005         3d12h10min 5s	             0	     128428300	     128224607	     126781916	     127293741	     127664034	     126117245
       61	     325129         3d18h18min49s	             0	     127197268	     128076563	     127186036	     127319082	     127684040	     127046854
       62	     347254         4d   27min34s	             0	     127338598	     127895233	     127840689	     127267083	     126937389	     127230850
