Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	     764509837	     764509837	     764509837	     764509837	     764509837
        1	 5.5157e-05                    0s	             0	     764509838	     764509837	     764509837	     764509837	     764509837	     764509837
        2	0.000140737                    0s	             0	     764509840	     764509837	     764509837	     764509837	     764509837	     764509837
        3	 0.00027352                    0s	             0	     764509844	     764509837	     764509837	     764509837	     764509837	     764509837
        4	0.000479543                    0s	             0	     764509850	     764509836	     764509836	     764509836	     764509836	     764509836
        5	0.000799202                    0s	             0	     764509859	     764509835	     764509835	     764509835	     764509835	     764509835
        6	 0.00129518                    0s	             0	     764509874	     764509832	     764509832	     764509832	     764509832	     764509832
        7	 0.00206471                    0s	             0	     764509897	     764509828	     764509828	     764509828	     764509828	     764509828
        8	  0.0032587                    0s	             0	     764509934	     764509821	     764509821	     764509821	     764509821	     764509821
        9	 0.00511127                    0s	             0	     764509991	     764509810	     764509810	     764509810	     764509810	     764509810
       10	 0.00798565                    0s	             0	     764510080	     764509792	     764509793	     764509793	     764509793	     764509793
       11	  0.0124454                    0s	             0	     764510218	     764509764	     764509766	     764509766	     764509766	     764509766
       12	  0.0193651                    0s	             0	     764510433	     764509721	     764509724	     764509724	     764509723	     764509724
       13	  0.0301015                    0s	             0	     764510767	     764509655	     764509657	     764509657	     764509656	     764509659
       14	  0.0467598                    0s	             0	     764511285	     764509552	     764509554	     764509553	     764509552	     764509557
       15	  0.0726063                    0s	             0	     764512087	     764509393	     764509394	     764509393	     764509391	     764509397
       16	   0.112709                    0s	             0	     764513334	     764509146	     764509145	     764509145	     764509141	     764509146
       17	   0.174931                    0s	             0	     764515268	     764508755	     764508759	     764508758	     764508758	     764508761
       18	   0.271473                    0s	             0	     764518273	     764508154	     764508157	     764508164	     764508158	     764508155
       19	   0.421265                    0s	             0	     764522931	     764507231	     764507215	     764507229	     764507230	     764507226
       20	   0.653677                    1s	             0	     764530151	     764505778	     764505780	     764505782	     764505794	     764505779
       21	    1.01428                    1s	             0	     764541345	     764503517	     764503546	     764503577	     764503578	     764503503
       22	    1.57378                    2s	             0	     764558742	     764500037	     764500068	     764500033	     764500136	     764500054
       23	    2.44189                    2s	             0	     764585703	     764494711	     764494643	     764494644	     764494719	     764494652
       24	    3.78882                    4s	             0	     764627558	     764486400	     764486201	     764486260	     764486418	     764486237
       25	    5.87868                    6s	             0	     764692423	     764473475	     764473270	     764473134	     764473512	     764473262
       26	    9.12123                    9s	             0	     764793347	     764453236	     764453305	     764452968	     764453000	     764453221
       27	    14.1523                   14s	             0	     764949916	     764421793	     764421991	     764421940	     764421536	     764421904
       28	    21.9583                   22s	             0	     765192765	     764373306	     764372922	     764373645	     764373287	     764373158
       29	    34.0699                   34s	             0	     765569139	     764298328	     764297383	     764298028	     764297872	     764298336
       30	     52.862                   53s	             0	     766154123	     764181198	     764180851	     764180059	     764181304	     764181552
       31	    82.0191               1min22s	             0	     767060747	     763998731	     763998020	     764000051	     764000844	     764000696
       32	    127.259               2min 7s	             0	     768466852	     763719250	     763715612	     763716379	     763722249	     763718749
       33	    197.451               3min17s	             0	     770653978	     763283775	     763278154	     763276419	     763283595	     763283173
       34	    306.359               5min 6s	             0	     774044099	     762611521	     762591539	     762598325	     762606690	     762606922
       35	    475.337               7min55s	             0	     779310198	     761560555	     761535857	     761541461	     761557699	     761553328
       36	    737.519              12min18s	             0	     787495224	     759927972	     759897004	     759905948	     759926098	     759906854
       37	    1144.31              19min 4s	             0	     800226312	     757392376	     757353369	     757363703	     757382282	     757341060
       38	    1775.48              29min35s	             0	     820030314	     753463904	     753391518	     753428156	     753398523	     753346689
       39	    2754.78              45min55s	             0	     850908298	     747261580	     747208881	     747261729	     747244798	     747173820
       40	    4274.24            1h11min14s	             0	     899278006	     737473676	     737606064	     737631596	     737618245	     737451521
       41	    6631.79            1h50min32s	             0	     974875972	     722544078	     722465312	     722522950	     722448178	     722202620
       42	    10289.7            2h51min30s	             0	    1093958914	     699263384	     698645717	     698373887	     698353740	     698463470
       43	    15965.2            4h26min 5s	             0	    1282294942	     662392036	     660460771	     660419362	     660473516	     661018486
       44	    24771.1            6h52min51s	             0	    1579836469	     604506222	     600022392	     601212709	     600637772	     600843551
       45	    38434.1           10h40min34s	             0	    2045129628	     513379616	     506771078	     507221458	     507644477	     506912860
       46	    59633.2           16h33min53s	             0	    2742583597	     377284919	     365995252	     366855589	     367004679	     367335083
       47	    81757.7           22h42min38s	             0	    3277818535	     268230632	     259899403	     260734393	     260185720	     260190438
       48	     103882         1d 4h51min22s	             0	    3657895483	     190350403	     184327141	     184684854	     185203773	     184597469
       49	     126007         1d11h      7s	             0	    3927726102	     134985826	     131032108	     130831663	     131002968	     131480458
       50	     148131         1d17h 8min51s	             0	    4119015325	      96389028	      92998866	      92999032	      92964258	      92692618
       51	     170256         1d23h17min36s	             0	    4254807969	      67834100	      66070711	      66154541	      66185338	      66006469
       52	     192381         2d 5h26min21s	             0	    4351362441	      48140229	      46881084	      46884725	      46838523	      46952129
       53	     214505         2d11h35min 5s	             0	    4419766663	      34253399	      33341150	      33279935	      33146688	      33271297
       54	     236630         2d17h43min50s	             0	    4468291291	      24342229	      23644894	      23613792	      23591973	      23574955
       55	     258754         2d23h52min34s	             0	    4502738387	      17256307	      16721062	      16805070	      16762994	      16775315
       56	     280879         3d 6h 1min19s	             0	    4527221384	      12220113	      11907738	      11877329	      11923977	      11908595
       57	     303003         3d12h10min 3s	             0	    4544577957	       8712171	       8434323	       8440288	       8455109	       8439292
       58	     325128         3d18h18min48s	             0	    4556906195	       6170450	       5996057	       5990186	       5977535	       6018720
       59	     347253         4d   27min33s	             0	    4565646997	       4379151	       4252597	       4261795	       4255076	       4263529
