Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509835	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509832	             1	             1	             1	             1	             1
        3	 0.00027352                    0s	             0	     764509828	             2	             2	             2	             2	             2
        4	0.000479543                    0s	             0	     764509822	             3	             3	             3	             3	             3
        5	0.000799202                    0s	             0	     764509812	             5	             5	             5	             5	             5
        6	 0.00129518                    0s	             0	     764509797	             8	             8	             8	             8	             8
        7	 0.00206471                    0s	             0	     764509773	            13	            13	            13	            13	            13
        8	  0.0032587                    0s	             0	     764509736	            20	            20	            20	            20	            20
        9	 0.00511127                    0s	             0	     764509678	            32	            32	            32	            32	            32
       10	 0.00798565                    0s	             0	     764509589	            50	            50	            50	            50	            50
       11	  0.0124454                    0s	             0	     764509450	            78	            78	            78	            78	            78
       12	  0.0193651                    0s	             0	     764509235	           121	           121	           121	           121	           121
       13	  0.0301015                    0s	             0	     764508901	           188	           188	           188	           188	           188
       14	  0.0467598                    0s	             0	     764508383	           291	           292	           292	           292	           292
       15	  0.0726063                    0s	             0	     764507579	           452	           453	           453	           453	           453
       16	   0.112709                    0s	             0	     764506332	           701	           702	           703	           703	           702
       17	   0.174931                    0s	             0	     764504397	          1087	          1090	          1090	          1090	          1089
       18	   0.271473                    0s	             0	     764501395	          1687	          1690	          1691	          1691	          1689
       19	   0.421265                    0s	             0	     764496737	          2618	          2622	          2623	          2622	          2622
       20	   0.653677                    1s	             0	     764489509	          4063	          4068	          4068	          4067	          4069
       21	    1.01428                    1s	             0	     764478295	          6304	          6314	          6310	          6307	          6314
       22	    1.57378                    2s	             0	     764460896	          9777	          9801	          9787	          9787	          9796
       23	    2.44189                    2s	             0	     764433901	         15175	         15194	         15188	         15183	         15202
       24	    3.78882                    4s	             0	     764392018	         23533	         23573	         23591	         23554	         23574
       25	    5.87868                    6s	             0	     764327038	         36526	         36574	         36607	         36544	         36554
       26	    9.12123                    9s	             0	     764226230	         56665	         56769	         56738	         56699	         56742
       27	    14.1523                   14s	             0	     764069845	         87935	         88006	         88066	         87986	         88004
       28	    21.9583                   22s	             0	     763827270	        136334	        136601	        136638	        136523	        136476
       29	    34.0699                   34s	             0	     763451047	        211628	        211756	        211880	        211693	        211839
       30	     52.862                   53s	             0	     762867709	        327827	        328629	        328705	        328255	        328719
       31	    82.0191               1min22s	             0	     761963564	        508401	        509748	        509453	        509110	        509568
       32	    127.259               2min 7s	             0	     760562867	        787942	        790150	        789772	        789046	        790066
       33	    197.451               3min17s	             0	     758395130	       1221307	       1223462	       1224042	       1222807	       1223095
       34	    306.359               5min 6s	             0	     755044279	       1889134	       1894032	       1894755	       1893574	       1894069
       35	    475.337               7min55s	             0	     749875947	       2920653	       2930284	       2928381	       2928127	       2926451
       36	    737.519              12min18s	             0	     741931943	       4507245	       4517947	       4518415	       4517681	       4516613
       37	    1144.31              19min 4s	             0	     729776619	       6931402	       6954981	       6950619	       6945347	       6950876
       38	    1775.48              29min35s	             0	     711337439	      10605613	      10650082	      10633725	      10636274	      10646711
       39	    2754.78              45min55s	             0	     683699448	      16088496	      16194830	      16179245	      16163815	      16184010
       40	    4274.24            1h11min14s	             0	     643062308	      24147318	      24349212	      24307721	      24318664	      24324620
       41	    6631.79            1h50min32s	             0	     585087633	      35616050	      35976761	      35923920	      35941034	      35964445
       42	    10289.7            2h51min30s	             0	     506179129	      51115593	      51844331	      51774487	      51773881	      51822421
       43	    15965.2            4h26min 5s	             0	     406585334	      70541575	      71834363	      71882933	      71799041	      71866596
       44	    24771.1            6h52min51s	             0	     295244829	      92277923	      94365548	      94262978	      94150559	      94208005
       45	    38434.1           10h40min34s	             0	     194299215	     112355369	     114618054	     114491841	     114383073	     114362290
       46	    59633.2           16h33min53s	             0	     133696369	     125059331	     126602140	     126283003	     126242601	     126626397
       47	    81757.7           22h42min38s	             0	     127594360	     126877890	     127236860	     127500684	     127731689	     127568358
       48	     103882         1d 4h51min22s	             0	     127370020	     127377602	     127554979	     127192175	     126887348	     128127717
       49	     126007         1d11h      7s	             0	     127829397	     127588551	     127292952	     126955687	     127423343	     127419911
       50	     148131         1d17h 8min51s	             0	     127205429	     127865723	     127238247	     127299168	     127771797	     127129477
       51	     170256         1d23h17min36s	             0	     127227310	     127403571	     127131826	     127879676	     127295389	     127572069
       52	     192381         2d 5h26min21s	             0	     127246211	     127450990	     127388485	     127565650	     127483738	     127374766
       53	     214505         2d11h35min 5s	             0	     127421967	     127125344	     127449834	     127122612	     127895605	     127494479
       54	     236630         2d17h43min50s	             0	     127888864	     127067977	     127493274	     128043805	     126777109	     127238813
       55	     258754         2d23h52min34s	             0	     127713493	     126881335	     127607646	     127413266	     127339687	     127554414
       56	     280879         3d 6h 1min19s	             0	     127492428	     127503101	     127560583	     127312179	     126934677	     127706873
       57	     303003         3d12h10min 3s	             0	     127626071	     127298823	     127678971	     127426588	     127089544	     127389844
       58	     325128         3d18h18min48s	             0	     127499519	     127378001	     127649818	     127114846	     127346623	     127521034
       59	     347253         4d   27min33s	             0	     127092326	     127469188	     127929680	     127416593	     127176186	     127425868
