Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           113	           114	           114	           114	           113
       13	  0.0301015                    0s	             0	     764508908	           179	           180	           180	           180	           179
       14	  0.0467598                    0s	             0	     764508390	           282	           283	           283	           283	           282
       15	  0.0726063                    0s	             0	     764507587	           442	           443	           443	           443	           443
       16	   0.112709                    0s	             0	     764506340	           691	           692	           692	           692	           692
       17	   0.174931                    0s	             0	     764504405	          1076	          1079	          1078	          1079	          1079
       18	   0.271473                    0s	             0	     764501403	          1675	          1680	          1678	          1679	          1679
       19	   0.421265                    0s	             0	     764496745	          2605	          2612	          2610	          2609	          2611
       20	   0.653677                    1s	             0	     764489518	          4046	          4058	          4056	          4054	          4058
       21	    1.01428                    1s	             0	     764478304	          6287	          6300	          6298	          6300	          6300
       22	    1.57378                    2s	             0	     764460905	          9768	          9779	          9779	          9780	          9777
       23	    2.44189                    2s	             0	     764433910	         15162	         15179	         15179	         15179	         15177
       24	    3.78882                    4s	             0	     764392028	         23532	         23558	         23556	         23557	         23554
       25	    5.87868                    6s	             0	     764327049	         36515	         36556	         36555	         36555	         36553
       26	    9.12123                    9s	             0	     764226241	         56655	         56724	         56724	         56720	         56719
       27	    14.1523                   14s	             0	     764069857	         87911	         88003	         88005	         87999	         88006
       28	    21.9583                   22s	             0	     763827283	        136380	        136541	        136533	        136517	        136525
       29	    34.0699                   34s	             0	     763451074	        211578	        211807	        211778	        211760	        211781
       30	     52.862                   53s	             0	     762867739	        328103	        328496	        328545	        328433	        328460
       31	    82.0191               1min22s	             0	     761963571	        508886	        509282	        509338	        509307	        509389
       32	    127.259               2min 7s	             0	     760562910	        788744	        789450	        789436	        789478	        789752
       33	    197.451               3min17s	             0	     758395073	       1221512	       1223133	       1223210	       1223277	       1223562
       34	    306.359               5min 6s	             0	     755044555	       1890494	       1893253	       1894068	       1893628	       1893769
       35	    475.337               7min55s	             0	     749876761	       2922396	       2925936	       2928773	       2927869	       2928030
       36	    737.519              12min18s	             0	     741932659	       4508265	       4514981	       4517529	       4517677	       4518652
       37	    1144.31              19min 4s	             0	     729780787	       6932666	       6944707	       6951148	       6949765	       6950689
       38	    1775.48              29min35s	             0	     711340461	      10604665	      10636419	      10642840	      10644668	      10640707
       39	    2754.78              45min55s	             0	     683704205	      16090930	      16180114	      16179837	      16182415	      16172257
       40	    4274.24            1h11min14s	             0	     643078313	      24131262	      24327921	      24324644	      24326066	      24321550
       41	    6631.79            1h50min32s	             0	     585089579	      35580149	      35947822	      35965119	      35963138	      35963947
       42	    10289.7            2h51min30s	             0	     506174387	      51069481	      51843229	      51769310	      51832025	      51821321
       43	    15965.2            4h26min 5s	             0	     406506332	      70491999	      71841277	      71874722	      71927961	      71867460
       44	    24771.1            6h52min51s	             0	     295091312	      92174206	      94334184	      94301994	      94384164	      94223888
       45	    38434.1           10h40min34s	             0	     194155658	     112242559	     114612767	     114629359	     114428907	     114440496
       46	    59633.2           16h33min53s	             0	     134004648	     124777990	     126448601	     126482637	     126404910	     126390957
       47	    81757.7           22h42min38s	             0	     128086058	     127125439	     127433709	     127478003	     126896967	     127489565
       48	     103882         1d 4h51min22s	             0	     126886522	     127369978	     127954556	     127664965	     127177906	     127455813
       49	     126007         1d11h      7s	             0	     126910334	     127194692	     127703534	     127459252	     127429259	     127812668
       50	     148131         1d17h 8min51s	             0	     127807172	     127409059	     127234770	     126895214	     127755111	     127408413
       51	     170256         1d23h17min36s	             0	     126758074	     127539534	     127666264	     127803903	     127439521	     127302444
       52	     192381         2d 5h26min21s	             0	     127287159	     127442254	     127428358	     127175221	     127869341	     127307407
       53	     214505         2d11h35min 5s	             0	     127527360	     127699990	     127234808	     127503098	     127081906	     127462578
       54	     236630         2d17h43min50s	             0	     127306779	     127730084	     127362791	     127568247	     126814695	     127727143
       55	     258754         2d23h52min34s	             0	     127438333	     127272950	     127558469	     127398682	     127563694	     127277612
       56	     280879         3d 6h 1min19s	             0	     127689675	     127171421	     127649415	     127666560	     127211153	     127121515
       57	     303003         3d12h10min 3s	             0	     127620895	     127381399	     127405377	     127184106	     127976335	     126941628
       58	     325128         3d18h18min48s	             0	     127135434	     127177030	     127563118	     127823671	     127913834	     126896654
       59	     347253         4d   27min33s	             0	     127396213	     127706852	     127285813	     127711956	     127058120	     127350787
