Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	         1.97283e-05	         3.93533e-05	         3.56597e-05	         3.56348e-05	          3.5637e-05	         3.56441e-05
        2    4.0833e-06                    0s	         3.72471e-05	         7.43157e-05	         6.73392e-05	         6.73022e-05	         6.72682e-05	         6.73007e-05
        3   0.000166734                    0s	         9.99508e-05	         9.84891e-05	         6.66435e-05	         6.82553e-05	         6.82783e-05	         6.82683e-05
        4    0.00680824                    0s	          9.6776e-05	         0.000121318	         0.000100154	         0.000113375	         0.000114246	         0.000114255
        5      0.278001                    0s	         2.42565e-05	         2.37852e-05	         3.39942e-05	         0.000113907	         0.000125372	         0.000125371
        6       11.3516                   11s	         2.69817e-05	         5.34079e-05	         3.78741e-05	         7.49853e-05	         0.000122501	         0.000122498
        7       463.521              07min44s	         6.13936e-07	         6.02157e-06	         2.37766e-06	         7.25848e-06	          0.00012268	          0.00012268
        8         18927           05h15min27s	                   1	         2.81791e-06	         1.43527e-05	         6.48771e-06	         0.000122558	         0.000122558
        9        772845        08d22h40min45s	         2.46524e-06	         4.87225e-06	         5.46008e-06	         2.02237e-05	          0.00013851	          0.00013851
       10   3.15576e+07  1y----05d06h--------	                   1	                   1	         1.60169e-05	          1.7042e-05	         0.000135428	         0.000135302
       11   1.28859e+09 41y05mo04d06h17min42s	                   1	                   1	          3.7274e-07	         0.000109311	         0.000159348	         0.000115944

