Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	             227.175	             8.95051	           0.0489828	          0.00218171	          0.00203935	          0.00231074
        2    4.0833e-06                    0s	             227.242	             8.94842	             0.14241	           0.0879401	           0.0922423	           0.0908633
        3   0.000166734                    0s	             8.94422	             8.97719	            0.672106	            0.383849	            0.385545	            0.387054
        4    0.00680824                    0s	            0.189362	            0.252328	            0.162747	           0.0797644	           0.0744239	           0.0744083
        5      0.278001                    0s	           0.0058844	           0.0056274	           0.0106889	          0.00397593	          0.00286725	           0.0028686
        6       11.3516                   11s	         2.01346e-06	         1.95526e-06	         1.84629e-06	         2.76917e-06	         9.40431e-07	         9.38746e-07
        7       463.521              07min44s	         1.87911e-06	         1.79452e-06	         1.71576e-06	         2.70408e-06	          8.8531e-07	          8.8571e-07
        8         18927           05h15min27s	         1.33275e-07	         1.27317e-07	         1.21368e-07	          1.9188e-07	         6.27251e-08	         6.28335e-08
        9        772845        08d22h40min45s	         9.97437e-12	         9.56057e-12	         1.61667e-11	         8.69943e-12	         4.86587e-12	         4.86487e-12
       10   3.15576e+07  1y----05d06h--------	         5.33688e-16	          5.1006e-16	         4.88297e-16	         7.66892e-16	         2.51212e-16	         2.51744e-16
       11   1.28859e+09 41y05mo04d06h17min42s	         7.57154e-19	         7.23179e-19	          6.8074e-19	         9.19279e-19	         4.85146e-19	         3.56031e-19

