Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           113	           113	           114	           114	           114
       13	  0.0301015                    0s	             0	     764508908	           179	           179	           180	           180	           181
       14	  0.0467598                    0s	             0	     764508390	           282	           282	           283	           283	           284
       15	  0.0726063                    0s	             0	     764507587	           443	           442	           443	           443	           444
       16	   0.112709                    0s	             0	     764506340	           692	           690	           692	           692	           693
       17	   0.174931                    0s	             0	     764504405	          1079	          1077	          1077	          1079	          1080
       18	   0.271473                    0s	             0	     764501403	          1680	          1676	          1675	          1681	          1680
       19	   0.421265                    0s	             0	     764496745	          2612	          2607	          2607	          2611	          2612
       20	   0.653677                    1s	             0	     764489518	          4056	          4049	          4054	          4054	          4061
       21	    1.01428                    1s	             0	     764478304	          6296	          6292	          6297	          6297	          6303
       22	    1.37488                    1s	             0	     764467091	          8536	          8535	          8540	          8540	          8545
       23	    1.93439                    2s	             0	     764449693	         12010	         12016	         12020	         12021	         12026
       24	    2.49389                    2s	             0	     764432295	         15486	         15497	         15499	         15499	         15506
       25	      3.362                    3s	             0	     764405301	         20879	         20898	         20898	         20898	         20905
       26	    4.70893                    5s	             0	     764363420	         29250	         29271	         29278	         29275	         29283
       27	    6.79878                    7s	             0	     764298444	         42225	         42270	         42279	         42274	         42283
       28	    10.0413                   10s	             0	     764197639	         62367	         62422	         62468	         62427	         62450
       29	    15.0724                   15s	             0	     764041263	         93587	         93717	         93719	         93732	         93753
       30	    22.8784                   23s	             0	     763798696	        142081	        142203	        142190	        142240	        142360
       31	    34.9901                   35s	             0	     763422491	        217261	        217398	        217449	        217485	        217684
       32	    53.7821                   54s	             0	     762839166	        333914	        334030	        334163	        334026	        334467
       33	    82.9392               1min23s	             0	     761935107	        514912	        514846	        515058	        514892	        514949
       34	    128.179               2min 8s	             0	     760534484	        794728	        795660	        795331	        795457	        794102
       35	    198.371               3min18s	             0	     758366701	       1228647	       1229665	       1228610	       1228333	       1227805
       36	    307.279               5min 7s	             0	     755015906	       1897763	       1899738	       1898821	       1900899	       1896632
       37	    476.257               7min56s	             0	     749849378	       2928947	       2930213	       2937296	       2932664	       2931259
       38	    738.439              12min18s	             0	     741903856	       4513289	       4520092	       4528472	       4526471	       4517575
       39	    1145.23              19min 5s	             0	     729757696	       6930932	       6950397	       6964530	       6962187	       6944011
       40	     1776.4              29min36s	             0	     711327421	      10600014	      10629567	      10659849	      10658848	      10634051
       41	     2755.7              45min56s	             0	     683683584	      16115840	      16164967	      16168950	      16194881	      16181526
       42	    4275.16            1h11min15s	             0	     643009637	      24157976	      24363739	      24311398	      24323094	      24343902
       43	    6632.71            1h50min33s	             0	     585052959	      35555297	      36012991	      35968162	      35979500	      35940836
       44	    10290.6            2h51min31s	             0	     506218855	      51136763	      51735469	      51765078	      51783554	      51870023
       45	    15966.1            4h26min 6s	             0	     406356785	      70580744	      71825795	      71807804	      71851168	      72087444
       46	      24772            6h52min52s	             0	     295158270	      92291503	      94011330	      94171735	      94392684	      94484216
       47	      38435           10h40min35s	             0	     194369389	     112346703	     114357891	     114756040	     114198852	     114480862
       48	    59634.1           16h33min54s	             0	     134129890	     124054221	     125976648	     126918944	     126382338	     127047695
       49	    81758.7           22h42min39s	             0	     128898720	     127308178	     127044740	     126822899	     127168917	     127266281
       50	     103883         1d 4h51min23s	             0	     127761047	     126616684	     127181392	     128013257	     127150807	     127786548
       51	     126008         1d11h      8s	             0	     127192130	     127767711	     127145114	     127225018	     127835157	     127344607
       52	     148132         1d17h 8min52s	             0	     126578984	     127128193	     128361516	     127650264	     127261569	     127529210
       53	     170257         1d23h17min37s	             0	     126943291	     127553493	     127649385	     127060119	     128036341	     127267107
       54	     192382         2d 5h26min22s	             0	     127209916	     127438285	     127364656	     127511078	     127529424	     127456378
       55	     214506         2d11h35min 6s	             0	     126712132	     126998191	     128417915	     128023697	     127303608	     127054195
       56	     236631         2d17h43min51s	             0	     127518633	     126288808	     127541038	     127415654	     127395096	     128350509
       57	     258755         2d23h52min35s	             0	     126551835	     128517590	     128654075	     125988475	     127481755	     127316008
       58	     280880         3d 6h 1min20s	             0	     127232036	     127881750	     127846168	     127201008	     126859358	     127489419
       59	     303004         3d12h10min 4s	             0	     127712715	     128065697	     127203025	     127360786	     127009738	     127157778
       60	     325129         3d18h18min49s	             0	     127364866	     127598316	     127611311	     127305721	     127134641	     127494883
       61	     347254         4d   27min34s	             0	     126549152	     126785289	     128037310	     127155211	     127813283	     128169493
