     time[s]	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
             0	           0	   764509837	           0	           0	           0	           0	           0

   5.30209e-05	           0	   764509836	           0	           0	           0	           0	           0

   0.000134154	           0	   764509834	           0	           0	           0	           0	           0

   0.000258305	           0	   764509831	           0	           0	           0	           0	           0

   0.000448281	           0	   764509826	           1	           1	           1	           1	           1

   0.000738985	           0	   764509817	           2	           2	           2	           2	           2

    0.00118382	           0	   764509804	           4	           4	           4	           4	           4

    0.00186452	           0	   764509783	           8	           8	           8	           8	           8

    0.00290612	           0	   764509751	          14	          14	          14	          14	          14

        0.0045	           0	   764509702	          23	          23	          23	          23	          23

    0.00693896	           0	   764509627	          38	          38	          38	          38	          38

     0.0106711	           0	   764509511	          61	          61	          61	          61	          61

      0.016382	           0	   764509334	          96	          96	          96	          96	          96

     0.0251209	           0	   764509063	         150	         150	         150	         150	         150

     0.0384933	           0	   764508648	         233	         233	         232	         233	         233

     0.0589559	           0	   764508012	         360	         360	         359	         360	         360

     0.0902679	           0	   764507039	         554	         554	         553	         554	         554

      0.138182	           0	   764505549	         851	         852	         850	         852	         852

        0.2115	           0	   764503269	        1306	        1308	        1305	        1308	        1308

      0.323692	           0	   764499780	        2003	        2005	        2002	        2006	        2006

       0.49537	           0	   764494442	        3069	        3072	        3070	        3074	        3073

      0.758073	           0	   764486273	        4702	        4705	        4704	        4708	        4706

       1.16006	           0	   764473772	        7200	        7205	        7205	        7208	        7205

       1.77519	           0	   764454644	       11021	       11035	       11032	       11034	       11028

       2.71647	           0	   764425374	       16869	       16896	       16888	       16884	       16881

       4.15682	           0	   764380587	       25816	       25853	       25849	       25839	       25845

       6.36086	           0	   764312058	       39518	       39574	       39545	       39548	       39543

        9.7335	           0	   764207208	       60444	       60538	       60544	       60536	       60513

       14.8944	           0	   764046794	       92502	       92657	       92577	       92623	       92629

       22.7915	           0	   763801397	      141588	      141759	      141648	      141677	      141711

       34.8759	           0	   763426067	      216714	      216922	      216630	      216638	      216806

       53.3674	           0	   762852091	      331370	      332132	      331171	      331518	      331493

       81.6634	           0	   761974701	      507120	      507174	      507040	      507169	      506569

       124.962	           0	   760634238	      774151	      775146	      775367	      775937	      774933

       191.218	           0	   758588143	     1181976	     1185278	     1184388	     1186426	     1183559

       292.604	           0	   755467736	     1806542	     1810021	     1807733	     1809587	     1808149

       447.746	           0	   750717529	     2752199	     2764106	     2761526	     2760090	     2754316

       685.145	           0	   743511825	     4189399	     4209550	     4204581	     4201938	     4192470

       1048.41	           0	   732626102	     6349549	     6389391	     6385036	     6386005	     6373678

       1604.29	           0	   716299930	     9607110	     9650612	     9663764	     9649182	     9639160

       2454.91	           0	   692050180	    14435098	    14512883	    14524505	    14499305	    14487784

       3756.52	           0	   656674607	    21455009	    21587333	    21610929	    21576328	    21605547

       5748.26	           0	   606240833	    31485176	    31697310	    31704371	    31691156	    31690905

       8796.05	           0	   537056339	    45128068	    45581072	    45601703	    45516075	    45626491

       13459.8	           0	   447737836	    62776570	    63493653	    63492908	    63368501	    63640278

       20596.3	           0	   342653709	    83378333	    84697009	    84490949	    84596820	    84692924

       31516.7	           0	   237715592	   103947632	   105296025	   105818603	   105902186	   105829703

       48227.1	           0	   157465079	   120330437	   121320596	   122042083	   121132109	   122219435

       70351.7	           0	   129579844	   125499892	   126302587	   127725643	   127787072	   127614698

       92476.2	           0	   127020335	   126830837	   127084400	   127949018	   127361596	   128263550

        114601	           0	   127486370	   128040405	   127672587	   126841685	   126904855	   127563833

        136725	           0	   128039765	   126623659	   127869468	   126543703	   127518113	   127915026

        158850	           0	   126832242	   128212016	   127849564	   126693648	   127763598	   127158666

        180975	           0	   127645054	   128467926	   127470340	   126984033	   126804930	   127137451
