Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
       49      0.658707                    1s	         2.14063e-06	         2.72945e-06	         1.88226e-06	         2.44561e-06	         1.00673e-06	         1.00865e-06
       50      0.673357                    1s	          2.0178e-06	         2.56456e-06	         1.77249e-06	         2.36465e-06	         9.38506e-07	          9.3858e-07
       51       0.72129                    1s	         2.04819e-06	         2.54336e-06	         1.81203e-06	         2.39958e-06	         9.63956e-07	         9.62218e-07
       52      0.735939                    1s	         1.94419e-06	         2.39997e-06	         1.70662e-06	         2.32434e-06	         8.99483e-07	         9.00243e-07
       53      0.783872                    1s	         1.96544e-06	         2.39055e-06	         1.74625e-06	         2.35259e-06	         9.25722e-07	         9.26263e-07
       54      0.930369                    1s	         1.90221e-06	         2.23486e-06	         1.69934e-06	         2.34661e-06	         9.01379e-07	         8.98826e-07
       55      0.961321                    1s	         1.76989e-06	         2.01756e-06	         1.58554e-06	         2.25116e-06	         8.32385e-07	         8.33074e-07
       56       1.00925                    1s	         1.75767e-06	         1.97805e-06	         1.58125e-06	         2.24653e-06	         8.27906e-07	         8.28386e-07
       57       1.15575                    1s	         1.72306e-06	         1.89209e-06	         1.56583e-06	          2.2546e-06	         8.18459e-07	          8.2152e-07
       58       1.46527                    1s	         1.65113e-06	         1.72496e-06	         1.51325e-06	          2.2475e-06	         7.84217e-07	         7.85134e-07
       59       2.00806                    2s	         1.58998e-06	         1.57396e-06	         1.46509e-06	         2.24558e-06	         7.54805e-07	         7.55255e-07
       60       2.85899                    3s	         1.57972e-06	         1.51267e-06	         1.45845e-06	         2.26863e-06	          7.5133e-07	         7.49708e-07
       61       4.09681                    4s	         1.60761e-06	         1.52674e-06	         1.47719e-06	         2.31555e-06	         7.61522e-07	         7.61896e-07
       62       5.80365                    6s	          1.6497e-06	         1.57485e-06	         1.51286e-06	         2.37658e-06	         7.80168e-07	         7.79922e-07
       63       8.06462                    8s	         1.68166e-06	         1.60789e-06	         1.54739e-06	         2.42728e-06	         7.97856e-07	         7.96701e-07
       64       10.9676                   11s	         1.71262e-06	         1.63568e-06	         1.57485e-06	         2.46994e-06	         8.10434e-07	         8.10752e-07
