Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
       47      0.595602                    1s	         3.99609e+16	          5.4594e+16	         4.23421e+16	         6.78917e+16	         1.50637e+16	         1.51292e+16
       48      0.610774                    1s	         3.46299e+16	         4.86191e+16	         3.69008e+16	         6.57196e+16	         1.34946e+16	         1.35175e+16
       49      0.658707                    1s	         3.69883e+16	          4.8405e+16	         3.86996e+16	         6.65918e+16	         1.41012e+16	         1.40954e+16
       50      0.673357                    1s	         3.31175e+16	         4.50253e+16	          3.5328e+16	         6.51981e+16	         1.30957e+16	           1.299e+16
       51       0.72129                    1s	         3.60278e+16	         4.46518e+16	         3.71311e+16	         6.60479e+16	         1.36443e+16	         1.36229e+16
       52      0.735939                    1s	         3.21791e+16	         4.16523e+16	         3.39699e+16	         6.49239e+16	         1.25673e+16	         1.26047e+16
       53      0.783872                    1s	         3.49336e+16	         4.18156e+16	         3.54656e+16	         6.55687e+16	         1.33116e+16	         1.32102e+16
       54      0.930369                    1s	          3.5408e+16	         3.95006e+16	         3.47493e+16	         6.68656e+16	         1.32155e+16	         1.31027e+16
       55      0.961321                    1s	          3.2009e+16	         3.48583e+16	         3.17377e+16	         6.45027e+16	         1.21719e+16	         1.21257e+16
       56       1.00925                    1s	         3.26715e+16	          3.4539e+16	         3.17419e+16	         6.46188e+16	         1.21397e+16	         1.22442e+16
       57       1.15575                    1s	         3.31337e+16	         3.32702e+16	         3.18784e+16	         6.53151e+16	         1.22257e+16	         1.22741e+16
       58       1.46527                    1s	         3.28341e+16	         3.09431e+16	          3.0722e+16	         6.65791e+16	         1.19092e+16	          1.1998e+16
       59       2.00806                    2s	         3.23654e+16	         2.88339e+16	          2.9493e+16	         6.78379e+16	         1.16303e+16	         1.16346e+16
       60       2.85899                    3s	         3.27062e+16	         2.87774e+16	         2.92204e+16	         6.96828e+16	         1.16568e+16	         1.16064e+16
       61       4.09681                    4s	         3.36159e+16	         3.01778e+16	         2.97878e+16	         7.19407e+16	         1.18839e+16	         1.18626e+16
       62       5.80365                    6s	         3.42592e+16	         3.18257e+16	         3.02598e+16	         7.41836e+16	         1.20316e+16	         1.21158e+16
       63       8.06462                    8s	         3.51076e+16	         3.33597e+16	          3.0872e+16	         7.65155e+16	         1.23501e+16	         1.22893e+16
       64       10.9676                   11s	         3.57286e+16	         3.46353e+16	         3.16646e+16	         7.86945e+16	         1.25454e+16	         1.25225e+16
       65       14.6029                   15s	          3.6335e+16	         3.56283e+16	         3.18401e+16	         8.00455e+16	         1.27228e+16	         1.27525e+16
       66       19.0631                   19s	         3.69538e+16	          3.6564e+16	          3.2164e+16	         8.14255e+16	         1.28624e+16	          1.2772e+16
       67       24.4429                   24s	          3.7168e+16	         3.73606e+16	         3.25926e+16	         8.28524e+16	         1.31031e+16	          1.3026e+16
       68       30.8392                   31s	         3.75824e+16	         3.76215e+16	         3.28619e+16	         8.36183e+16	         1.30879e+16	         1.30905e+16
       69       38.3506                   38s	         3.76884e+16	         3.81943e+16	         3.30662e+16	         8.42082e+16	          1.3177e+16	         1.32216e+16
       70       47.0775                   47s	         3.80711e+16	         3.86539e+16	         3.31178e+16	         8.49175e+16	         1.32081e+16	         1.32853e+16
       71       57.1219                   57s	          3.8183e+16	         3.88826e+16	         3.32512e+16	         8.53763e+16	          1.3282e+16	         1.32672e+16
       72       68.5876              01min09s	         3.83965e+16	         3.93417e+16	          3.3369e+16	           8.607e+16	         1.33395e+16	         1.33243e+16
       73       81.5799              01min22s	         3.83878e+16	         3.94367e+16	          3.3479e+16	         8.64035e+16	         1.33393e+16	         1.33602e+16
       74       96.2054              01min36s	         3.85055e+16	         3.95011e+16	         3.35813e+16	          8.6213e+16	         1.33494e+16	         1.33901e+16
       75       112.572              01min53s	         3.85565e+16	         3.98739e+16	         3.35752e+16	         8.73752e+16	         1.34588e+16	          1.3412e+16
       76        130.79              02min11s	          3.8702e+16	         3.99278e+16	         3.39107e+16	         8.68623e+16	         1.34548e+16	         1.34528e+16
       77        150.97              02min31s	          3.8755e+16	         3.98109e+16	         3.38173e+16	         8.69629e+16	         1.35305e+16	         1.34506e+16
       78       173.223              02min53s	         3.89025e+16	         4.01046e+16	         3.40336e+16	         8.71386e+16	         1.34507e+16	         1.35113e+16
       79       197.663              03min18s	         3.89594e+16	         4.00164e+16	         3.36902e+16	         8.74047e+16	         1.35133e+16	         1.35102e+16
       80       224.405              03min44s	         3.90827e+16	         4.03396e+16	         3.41507e+16	         8.74342e+16	         1.34692e+16	         1.34646e+16
       81       253.564              04min14s	         3.89036e+16	          4.0298e+16	         3.38442e+16	         8.76198e+16	         1.34604e+16	         1.35254e+16
       82       285.258              04min45s	         3.89303e+16	         4.01993e+16	         3.39767e+16	         8.74312e+16	         1.35391e+16	         1.35807e+16
       83       319.603              05min20s	         3.89666e+16	         4.03893e+16	         3.38368e+16	         8.75523e+16	         1.35597e+16	          1.3571e+16
       84       356.718              05min57s	         3.90405e+16	         4.05098e+16	         3.39989e+16	         8.79209e+16	         1.35522e+16	         1.35334e+16
       85       396.725              06min37s	         3.90456e+16	         4.03039e+16	         3.40238e+16	         8.78359e+16	         1.35357e+16	          1.3565e+16
       86       439.742              07min20s	         3.91775e+16	         4.04995e+16	         3.40918e+16	         8.80766e+16	         1.35689e+16	         1.35688e+16
       87       444.358              07min24s	          3.6788e+16	         3.66212e+16	         3.22715e+16	         8.16114e+16	         1.28342e+16	         1.28496e+16
       88       449.017              07min29s	         3.69107e+16	         3.67061e+16	         3.24218e+16	         8.19718e+16	          1.2934e+16	         1.29912e+16
       89       458.952              07min39s	         3.82112e+16	         3.89448e+16	         3.33165e+16	         8.51665e+16	         1.33062e+16	         1.33108e+16
       90       475.371              07min55s	         3.85399e+16	         3.96543e+16	         3.36831e+16	         8.66987e+16	         1.34048e+16	         1.34682e+16
       91       499.283              08min19s	         3.88676e+16	         4.00387e+16	         3.38091e+16	          8.7243e+16	          1.3449e+16	         1.35521e+16
       92       531.577              08min52s	         3.89655e+16	         4.04233e+16	         3.39518e+16	         8.82792e+16	          1.3578e+16	          1.3504e+16
       93       573.056              09min33s	         3.91329e+16	         4.05496e+16	         3.40225e+16	          8.7901e+16	          1.3538e+16	         1.35502e+16
       94       578.196              09min38s	         3.72147e+16	         3.69207e+16	         3.23481e+16	         8.25672e+16	         1.29628e+16	         1.29327e+16
       95       599.326              09min59s	         3.87764e+16	         3.99751e+16	         3.37821e+16	         8.71378e+16	         1.34203e+16	         1.35039e+16
       96       639.191              10min39s	         3.88451e+16	         4.05787e+16	         3.38522e+16	          8.7827e+16	         1.35255e+16	         1.35669e+16
       97       699.839              11min40s	          3.9102e+16	           4.058e+16	         3.41792e+16	         8.82117e+16	         1.35921e+16	         1.35741e+16
       98       708.138              11min48s	         3.79398e+16	          3.8284e+16	         3.28729e+16	          8.4878e+16	          1.3236e+16	          1.3214e+16
       99       729.268              12min09s	         3.88974e+16	         4.02708e+16	         3.38614e+16	         8.70536e+16	         1.35004e+16	         1.35278e+16
      100       769.134              12min49s	         3.89039e+16	         4.05603e+16	         3.38675e+16	         8.80126e+16	         1.35652e+16	         1.35942e+16
      101       829.781              13min50s	         3.91177e+16	          4.0618e+16	         3.40681e+16	         8.82377e+16	          1.3546e+16	         1.36128e+16
      102       838.081              13min58s	         3.77869e+16	         3.85011e+16	         3.29234e+16	         8.45729e+16	         1.32569e+16	         1.33168e+16
      103       859.211              14min19s	         3.88065e+16	         3.99517e+16	         3.37826e+16	         8.72906e+16	         1.35483e+16	         1.34666e+16
      104       899.076              14min59s	         3.91175e+16	         4.02726e+16	         3.37229e+16	         8.78598e+16	         1.35135e+16	         1.35195e+16
      105       959.723              16min---	         3.91919e+16	         4.07471e+16	         3.41493e+16	         8.83087e+16	         1.36069e+16	         1.36814e+16
      106       968.023              16min08s	         3.78779e+16	         3.84024e+16	         3.28063e+16	         8.47545e+16	         1.34522e+16	         1.31739e+16
      107       989.153              16min29s	          3.8908e+16	         4.01393e+16	         3.37278e+16	         8.74563e+16	         1.34974e+16	         1.34552e+16
      108       1029.02              17min09s	           3.897e+16	         4.04612e+16	         3.39341e+16	         8.81294e+16	         1.35356e+16	         1.35586e+16
      109       1089.67              18min10s	         3.93665e+16	         4.06615e+16	         3.41614e+16	         8.83258e+16	         1.36504e+16	         1.35284e+16
      110       1097.97              18min18s	         3.79553e+16	         3.83645e+16	         3.31307e+16	          8.4725e+16	         1.32064e+16	         1.32986e+16
      111        1119.1              18min39s	         3.87163e+16	         4.01173e+16	          3.3865e+16	         8.70875e+16	         1.35505e+16	         1.35107e+16
      112       1158.96              19min19s	         3.92068e+16	         4.05954e+16	         3.40413e+16	         8.80629e+16	         1.35316e+16	         1.35192e+16
      113       1219.61              20min20s	         3.90158e+16	         4.05123e+16	         3.40968e+16	         8.81315e+16	         1.35571e+16	         1.35595e+16
      114       1227.91              20min28s	         3.78787e+16	         3.85145e+16	         3.29437e+16	         8.49327e+16	         1.31969e+16	          1.3252e+16
      115       1249.04              20min49s	         3.87902e+16	         3.99756e+16	         3.38227e+16	         8.73574e+16	         1.34976e+16	          1.3501e+16
      116        1288.9              21min29s	          3.9064e+16	         4.03204e+16	         3.38947e+16	         8.79688e+16	         1.35962e+16	         1.35508e+16
      117       1349.55              22min30s	         3.91029e+16	         4.05382e+16	         3.41051e+16	         8.84384e+16	         1.35928e+16	         1.35949e+16
      118       1357.85              22min38s	         3.79833e+16	         3.83927e+16	         3.28962e+16	          8.4919e+16	         1.31324e+16	         1.31904e+16
      119       1378.98              22min59s	         3.87609e+16	         4.01075e+16	          3.3843e+16	         8.70553e+16	         1.35116e+16	         1.34881e+16
      120       1418.85              23min39s	         3.89807e+16	         4.03333e+16	         3.40462e+16	         8.78197e+16	         1.35286e+16	         1.35565e+16
      121       1479.49              24min39s	         3.90499e+16	          4.0727e+16	         3.40291e+16	         8.82143e+16	         1.35758e+16	         1.36137e+16
      122       1487.79              24min48s	         3.78623e+16	         3.84489e+16	         3.28421e+16	         8.47191e+16	          1.3207e+16	         1.31529e+16
      123       1508.92              25min09s	         3.88753e+16	         3.98897e+16	         3.39303e+16	         8.71563e+16	         1.34884e+16	         1.35073e+16
      124       1548.79              25min49s	         3.90733e+16	         4.03889e+16	         3.38685e+16	         8.78029e+16	         1.35435e+16	         1.35645e+16
      125       1609.44              26min49s	         3.91194e+16	         4.06042e+16	         3.41243e+16	           8.836e+16	         1.35997e+16	         1.36727e+16
      126       1617.74              26min58s	         3.80678e+16	          3.8459e+16	         3.29651e+16	          8.4785e+16	         1.32378e+16	         1.32258e+16
      127       1638.87              27min19s	         3.86982e+16	         3.98528e+16	         3.36689e+16	         8.70022e+16	         1.34563e+16	         1.34474e+16
