Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509835	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509832	             1	             1	             1	             1	             1
        3	 0.00027352                    0s	             0	     764509828	             2	             2	             2	             2	             2
        4	0.000479543                    0s	             0	     764509822	             3	             3	             3	             3	             3
        5	0.000799202                    0s	             0	     764509812	             5	             5	             5	             5	             5
        6	 0.00129518                    0s	             0	     764509797	             8	             8	             8	             8	             8
        7	 0.00206471                    0s	             0	     764509773	            13	            13	            13	            13	            13
        8	  0.0032587                    0s	             0	     764509736	            20	            20	            20	            20	            20
        9	 0.00511127                    0s	             0	     764509678	            32	            32	            32	            32	            31
       10	 0.00798565                    0s	             0	     764509589	            50	            50	            50	            50	            49
       11	  0.0124454                    0s	             0	     764509450	            78	            78	            78	            78	            77
       12	  0.0193651                    0s	             0	     764509235	           121	           121	           121	           121	           120
       13	  0.0301015                    0s	             0	     764508901	           188	           188	           188	           188	           187
       14	  0.0467598                    0s	             0	     764508383	           291	           292	           292	           292	           290
       15	  0.0726063                    0s	             0	     764507579	           452	           452	           452	           453	           451
       16	   0.112709                    0s	             0	     764506332	           701	           701	           701	           703	           701
       17	   0.174931                    0s	             0	     764504397	          1088	          1089	          1087	          1090	          1088
       18	   0.271473                    0s	             0	     764501395	          1688	          1688	          1686	          1693	          1689
       19	   0.421265                    0s	             0	     764496737	          2617	          2619	          2620	          2625	          2622
       20	   0.653677                    1s	             0	     764489509	          4054	          4066	          4067	          4072	          4072
       21	    1.01428                    1s	             0	     764478295	          6295	          6309	          6311	          6315	          6315
       22	    1.37488                    1s	             0	     764467081	          8537	          8552	          8554	          8558	          8558
       23	    1.93439                    2s	             0	     764449682	         12014	         12032	         12035	         12039	         12039
       24	    2.80249                    3s	             0	     764422687	         17406	         17434	         17434	         17440	         17440
       25	    4.14942                    4s	             0	     764380805	         25780	         25809	         25812	         25818	         25817
       26	    6.23928                    6s	             0	     764315826	         38764	         38803	         38821	         38811	         38815
       27	    9.48184                    9s	             0	     764215018	         58919	         58980	         58970	         58983	         58971
       28	    14.5129                   15s	             0	     764058637	         90175	         90245	         90275	         90276	         90233
       29	    22.3189                   22s	             0	     763816070	        138673	        138762	        138835	        138771	        138730
       30	    34.4306                   34s	             0	     763439866	        213784	        213909	        214124	        214181	        213977
       31	    53.2226                   53s	             0	     762856537	        330332	        330619	        330872	        330903	        330578
       32	    82.3797               1min22s	             0	     761952389	        510991	        511068	        511606	        512324	        511463
       33	    127.619               2min 8s	             0	     760551883	        790144	        791657	        792141	        792108	        791909
       34	    197.811               3min18s	             0	     758384245	       1222208	       1227042	       1226221	       1225167	       1224959
       35	    306.719               5min 7s	             0	     755033780	       1890332	       1897379	       1897912	       1895395	       1895044
       36	    475.697               7min56s	             0	     749865527	       2920559	       2936641	       2930313	       2925581	       2931221
       37	    737.879              12min18s	             0	     741919667	       4500938	       4530457	       4521387	       4517129	       4520264
       38	    1144.67              19min 5s	             0	     729769125	       6919937	       6954693	       6967797	       6947243	       6951047
       39	    1775.84              29min36s	             0	     711321143	      10587802	      10632519	      10683305	      10636278	      10648795
       40	    2755.14              45min55s	             0	     683680889	      16074592	      16146053	      16239554	      16174662	      16194093
       41	     4274.6            1h11min15s	             0	     643032562	      24161531	      24317189	      24341998	      24319955	      24336607
       42	    6632.15            1h50min32s	             0	     585066648	      35614169	      35961366	      35919359	      35970100	      35978200
       43	      10290            2h51min30s	             0	     506270272	      51185183	      51733757	      51839736	      51772233	      51708662
       44	    15965.5            4h26min 6s	             0	     406703580	      70546288	      71722826	      71825920	      71917572	      71793657
       45	    24771.4            6h52min51s	             0	     295533375	      92291186	      94308173	      93864045	      94166012	      94347052
       46	    38434.4           10h40min34s	             0	     194480611	     111836891	     114573240	     114382012	     114662202	     114574886
       47	    59633.5           16h33min54s	             0	     134294274	     125120514	     125314772	     126521820	     126616832	     126641631
       48	    81758.1           22h42min38s	             0	     129034066	     126523505	     127701870	     127264264	     126878634	     127107504
       49	     103883         1d 4h51min23s	             0	     126823848	     128973208	     126307774	     126715723	     128468065	     127221226
       50	     126007         1d11h      7s	             0	     127131822	     127664987	     126946486	     127482981	     127830692	     127452876
       51	     148132         1d17h 8min52s	             0	     127609790	     127556540	     127417760	     127117476	     127473220	     127335057
       52	     170256         1d23h17min36s	             0	     127333674	     126689321	     127967312	     128396189	     127493326	     126630022
       53	     192381         2d 5h26min21s	             0	     127213179	     127835363	     127027451	     127520592	     128285916	     126627344
       54	     214506         2d11h35min 6s	             0	     127872701	     127063611	     126509255	     127304446	     128485435	     127274396
       55	     236630         2d17h43min50s	             0	     128006201	     127280717	     126499816	     128136459	     127073574	     127513077
       56	     258755         2d23h52min35s	             0	     127089061	     127440045	     127537457	     127748181	     127139180	     127555922
       57	     280879         3d 6h 1min19s	             0	     127308563	     127715761	     127244342	     127591585	     127364035	     127285560
       58	     303004         3d12h10min 4s	             0	     127646677	     127845394	     126970376	     126547840	     128175242	     127324316
       59	     325128         3d18h18min48s	             0	     127803677	     127291196	     127351471	     127880330	     126993043	     127190128
       60	     347253         4d   27min33s	             0	     127981605	     127812850	     127542879	     127070216	     126847465	     127254829
