Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           113	           114	           114	           114	           114
       13	  0.0301015                    0s	             0	     764508908	           179	           180	           180	           180	           180
       14	  0.0467598                    0s	             0	     764508390	           282	           283	           283	           283	           283
       15	  0.0726063                    0s	             0	     764507587	           442	           443	           443	           444	           443
       16	   0.112709                    0s	             0	     764506340	           690	           692	           692	           693	           692
       17	   0.174931                    0s	             0	     764504405	          1076	          1079	          1078	          1080	          1079
       18	   0.271473                    0s	             0	     764501403	          1675	          1679	          1678	          1680	          1679
       19	   0.421265                    0s	             0	     764496745	          2606	          2609	          2610	          2612	          2610
       20	   0.653677                    1s	             0	     764489518	          4051	          4054	          4053	          4057	          4057
       21	    1.01428                    1s	             0	     764478304	          6291	          6297	          6299	          6298	          6300
       22	    1.57378                    2s	             0	     764460905	          9767	          9777	          9779	          9778	          9780
       23	    2.13329                    2s	             0	     764443507	         13243	         13257	         13259	         13258	         13260
       24	    2.69279                    3s	             0	     764426109	         16719	         16737	         16739	         16738	         16740
       25	    3.25229                    3s	             0	     764408712	         20195	         20217	         20219	         20218	         20220
       26	    3.81179                    4s	             0	     764391315	         23670	         23696	         23699	         23698	         23700
       27	    4.37129                    4s	             0	     764373919	         27146	         27176	         27178	         27178	         27179
